time(s),p(kPa),Voltage(V)
3.01,-0.03,4.81
3.02,-0.02,4.81
3.04,0.00,4.87
3.05,0.03,5.00
3.06,0.04,5.12
3.07,0.05,5.17
3.09,0.05,5.20
3.10,0.07,5.16
3.11,0.08,5.19
3.12,0.09,5.21
3.13,0.09,5.22
3.14,0.10,5.15
3.16,0.11,5.16
3.17,0.13,5.15
3.18,0.14,5.13
3.19,0.14,5.11
3.21,0.14,5.02
3.22,0.16,4.91
3.23,0.18,4.95
3.24,0.19,4.90
3.25,0.20,4.87
3.27,0.21,4.80
3.28,0.25,4.74
3.29,0.29,4.82
3.30,0.31,4.89
3.31,0.31,4.89
3.33,0.33,4.73
3.34,0.36,4.71
3.35,0.40,4.69
3.36,0.44,4.74
3.37,0.48,4.85
3.39,0.49,4.87
3.40,0.51,4.77
3.41,0.52,4.65
3.42,0.58,4.52
3.43,0.64,4.66
3.45,0.68,4.84
3.46,0.69,4.84
3.47,0.70,4.67
3.48,0.74,4.52
3.49,0.80,4.53
3.51,0.85,4.66
3.52,0.87,4.70
3.53,0.91,4.60
3.54,0.95,4.59
3.55,0.98,4.54
3.57,1.02,4.50
3.58,1.07,4.46
3.59,1.13,4.51
3.60,1.18,4.58
3.61,1.20,4.60
3.63,1.24,4.47
3.64,1.28,4.43
3.65,1.32,4.35
3.66,1.39,4.35
3.68,1.43,4.43
3.69,1.48,4.40
3.70,1.52,4.42
3.71,1.56,4.34
3.72,1.59,4.26
3.73,1.65,4.15
3.75,1.73,4.23
3.76,1.78,4.36
3.77,1.80,4.31
3.78,1.84,4.14
3.79,1.91,4.07
3.81,1.97,4.19
3.82,2.03,4.21
3.83,2.08,4.25
3.84,2.12,4.24
3.86,2.16,4.11
3.87,2.22,4.00
3.88,2.29,4.03
3.89,2.35,4.17
3.90,2.40,4.17
3.92,2.44,4.13
3.93,2.50,4.01
3.94,2.57,4.04
3.95,2.63,4.15
3.96,2.68,4.18
3.98,2.72,4.13
3.99,2.78,3.98
4.00,2.86,4.04
4.01,2.93,4.21
4.02,2.95,4.21
4.03,3.00,4.02
4.05,3.06,4.00
4.06,3.16,4.03
4.07,3.21,4.25
4.08,3.23,4.21
4.10,3.29,4.04
4.11,3.37,4.05
4.12,3.43,4.15
4.13,3.48,4.18
4.14,3.52,4.17
4.16,3.59,4.11
4.17,3.62,4.14
4.18,3.68,4.04
4.19,3.74,4.10
4.20,3.80,4.12
4.22,3.85,4.16
4.23,3.90,4.13
4.24,3.95,4.11
4.25,4.01,4.08
4.26,4.06,4.14
4.28,4.11,4.12
4.29,4.17,4.10
4.30,4.22,4.16
4.31,4.28,4.15
4.32,4.31,4.19
4.34,4.35,4.07
4.35,4.42,4.06
4.36,4.46,4.14
4.37,4.51,4.12
4.38,4.57,4.15
4.40,4.61,4.24
4.41,4.65,4.16
4.42,4.68,4.10
4.43,4.73,4.08
4.45,4.78,4.10
4.46,4.83,4.11
4.47,4.88,4.15
4.48,4.92,4.21
4.49,4.94,4.16
4.51,4.98,4.06
4.52,5.03,4.04
4.53,5.08,4.12
4.54,5.11,4.16
4.55,5.15,4.15
4.57,5.19,4.15
4.58,5.22,4.14
4.59,5.25,4.16
4.60,5.30,4.10
4.61,5.32,4.20
4.63,5.34,4.13
4.64,5.38,4.10
4.65,5.41,4.14
4.66,5.45,4.10
4.67,5.48,4.21
4.69,5.50,4.20
4.70,5.52,4.18
4.71,5.56,4.08
4.72,5.58,4.22
4.73,5.60,4.16
4.75,5.64,4.17
4.76,5.65,4.24
4.77,5.67,4.19
