time(s),p(kPa),Voltage(V)
3.01,-0.02,4.98
3.02,-0.02,4.98
3.04,0.00,4.98
3.05,0.00,5.00
3.06,0.02,5.00
3.07,0.03,5.00
3.08,0.04,5.01
3.10,0.05,5.02
3.11,0.07,5.02
3.12,0.07,5.02
3.13,0.08,5.01
3.14,0.10,5.01
3.16,0.10,5.03
3.17,0.11,5.01
3.18,0.11,5.01
3.19,0.14,5.00
3.21,0.14,5.00
3.22,0.15,4.99
3.23,0.16,4.98
3.24,0.19,4.97
3.25,0.18,4.98
3.27,0.20,4.94
3.28,0.21,4.94
3.29,0.21,4.94
3.30,0.24,4.91
3.31,0.25,4.91
3.32,0.26,4.89
3.34,0.29,4.88
3.35,0.30,4.88
3.36,0.32,4.86
3.37,0.33,4.85
3.39,0.35,4.83
3.40,0.38,4.81
3.41,0.40,4.82
3.42,0.43,4.80
3.43,0.44,4.80
3.45,0.48,4.78
3.46,0.51,4.78
3.47,0.53,4.77
3.48,0.55,4.75
3.49,0.59,4.74
3.51,0.62,4.74
3.52,0.65,4.72
3.53,0.68,4.72
3.54,0.71,4.70
3.55,0.75,4.69
3.57,0.77,4.69
3.58,0.81,4.67
3.59,0.86,4.66
3.60,0.90,4.66
3.61,0.93,4.66
3.63,0.96,4.65
3.64,0.98,4.62
3.65,1.03,4.60
3.66,1.07,4.60
3.67,1.10,4.59
3.69,1.15,4.57
3.70,1.19,4.57
3.71,1.23,4.56
3.72,1.25,4.55
3.73,1.30,4.52
3.75,1.32,4.52
3.76,1.35,4.49
3.77,1.41,4.46
3.78,1.45,4.47
3.79,1.50,4.45
3.81,1.53,4.45
3.82,1.56,4.43
3.83,1.59,4.40
3.84,1.63,4.39
3.85,1.68,4.37
3.87,1.72,4.36
3.88,1.75,4.34
3.89,1.80,4.33
3.90,1.84,4.32
3.91,1.89,4.30
3.93,1.94,4.29
3.94,1.97,4.28
3.95,2.02,4.26
3.96,2.07,4.26
3.97,2.12,4.25
3.99,2.17,4.24
4.00,2.20,4.23
4.01,2.25,4.21
4.02,2.30,4.20
4.03,2.35,4.19
4.05,2.40,4.19
4.06,2.46,4.18
4.07,2.51,4.18
4.08,2.57,4.18
4.09,2.61,4.19
4.11,2.66,4.17
4.12,2.72,4.15
4.13,2.77,4.16
4.14,2.82,4.16
4.16,2.86,4.15
4.17,2.93,4.14
4.18,2.97,4.15
4.19,3.02,4.15
4.20,3.08,4.14
4.21,3.15,4.14
4.23,3.21,4.16
4.24,3.26,4.16
4.25,3.32,4.16
4.26,3.35,4.16
4.28,3.41,4.15
4.29,3.46,4.16
4.30,3.51,4.16
4.31,3.56,4.15
4.32,3.62,4.15
4.34,3.66,4.16
4.35,3.72,4.15
4.36,3.77,4.16
4.37,3.82,4.16
4.38,3.87,4.17
4.40,3.93,4.17
4.41,3.96,4.18
4.42,4.02,4.17
4.43,4.07,4.19
4.44,4.13,4.19
4.46,4.17,4.21
4.47,4.22,4.21
4.48,4.26,4.21
4.49,4.29,4.20
4.50,4.34,4.20
4.51,4.39,4.21
4.53,4.43,4.22
4.54,4.48,4.22
4.55,4.51,4.23
4.56,4.55,4.23
4.58,4.59,4.23
4.59,4.61,4.23
4.60,4.66,4.22
4.61,4.70,4.24
4.62,4.73,4.24
4.64,4.77,4.24
4.65,4.82,4.25
4.66,4.86,4.27
4.67,4.89,4.27
4.68,4.92,4.28
4.70,4.94,4.28
4.71,4.98,4.28
4.72,5.01,4.29
4.73,5.04,4.30
4.74,5.05,4.30
4.76,5.09,4.29
4.77,5.11,4.31
4.78,5.15,4.31
4.79,5.16,4.32
4.80,5.19,4.32
4.82,5.21,4.33
4.83,5.25,4.33
4.84,5.26,4.35
4.85,5.28,4.35
4.86,5.31,4.36
4.88,5.32,4.38
4.89,5.34,4.38
4.90,5.36,4.39
4.91,5.38,4.39
4.92,5.39,4.41
4.94,5.41,4.41
4.95,5.43,4.42
4.96,5.44,4.44
4.97,5.47,4.45
4.98,5.48,4.47
5.00,5.49,4.48
5.01,5.49,4.49
5.02,5.50,4.49
5.03,5.52,4.50
5.05,5.52,4.52
5.06,5.53,4.52
5.07,5.54,4.54
5.08,5.55,4.56
5.09,5.55,4.58
5.11,5.55,4.58
5.12,5.58,4.59
5.13,5.58,4.63
5.14,5.56,4.64
5.15,5.58,4.64
5.17,5.58,4.66
5.18,5.59,4.68
5.19,5.59,4.70
5.20,5.58,4.72
5.21,5.59,4.73
5.23,5.59,4.76
5.24,5.59,4.77
5.25,5.58,4.79
5.26,5.58,4.81
5.27,5.58,4.83
5.28,5.58,4.85
5.30,5.56,4.87
5.31,5.56,4.89
5.32,5.56,4.91
5.33,5.56,4.94
5.35,5.55,4.97
5.36,5.54,4.98
5.37,5.54,5.00
5.38,5.54,5.03
5.39,5.54,5.06
5.41,5.53,5.10
5.42,5.53,5.11
5.43,5.52,5.15
5.44,5.50,5.17
5.45,5.50,5.20
5.47,5.49,5.23
5.48,5.49,5.26
5.49,5.49,5.30
5.50,5.47,5.34
5.51,5.47,5.35
5.53,5.45,5.39
5.54,5.47,5.42
5.55,5.44,5.48
