time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
6.78,-0.04,-0.03,-0.39,-7.7
6.79,0.08,-0.06,1.08,-7.58
6.8,-0.12,-0.06,-2.1,-7.56
6.82,-0.09,-0.03,-1.61,-7.48
6.83,-0.09,-0.06,-1.12,-7.37
6.84,0.02,-0.06,0.34,-7.33
6.86,0.05,-0.06,0.59,-7.26
6.87,-0.14,-0.06,-2.35,-7.18
6.88,-0.08,-0.03,-1.37,-7.09
6.9,-0.11,-0.06,-1.61,-6.96
6.91,0.07,-0.04,1.08,-6.93
6.92,0.02,-0.07,-0.15,-6.82
6.94,-0.14,-0.04,-2.35,-6.79
6.95,-0.08,-0.07,-1.12,-6.65
6.96,-0.08,-0.06,-1.12,-6.61
6.98,0.09,-0.06,1.32,-6.49
6.99,-0.03,-0.03,-0.88,-6.4
7,-0.12,-0.03,-1.86,-6.26
7.01,-0.08,-0.04,-1.12,-6.16
7.03,-0.07,-0.03,-1.12,-6.1
7.04,0.09,-0.04,1.32,-5.98
7.05,-0.09,-0.04,-1.61,-5.91
7.07,-0.09,-0.04,-1.37,-5.81
7.08,-0.08,-0.03,-1.37,-5.71
7.09,0,-0.03,0.1,-5.59
7.11,0.07,-0.04,0.59,-5.48
7.12,-0.14,-0.04,-2.59,-5.41
7.13,-0.09,-0.03,-1.61,-5.31
7.15,-0.11,-0.06,-1.61,-5.18
7.16,0.05,-0.04,1.08,-5.12
7.17,0.04,-0.03,0.34,-5
7.19,-0.15,-0.03,-2.35,-4.86
7.2,-0.08,-0.03,-1.12,-4.76
7.21,-0.09,-0.04,-1.37,-4.66
7.23,0.09,-0.03,1.08,-4.57
7.24,-0.03,-0.04,-0.88,-4.43
7.25,-0.13,-0.06,-2.1,-4.35
7.26,-0.08,-0.06,-1.12,-4.27
7.28,-0.07,-0.03,-1.12,-4.15
7.29,0.09,-0.06,1.32,-3.99
7.3,-0.09,-0.06,-1.86,-3.94
7.32,-0.11,-0.06,-1.61,-3.82
7.33,-0.08,-0.04,-1.12,-3.71
7.34,-0.02,-0.06,-0.15,-3.57
7.36,0.07,-0.04,0.83,-3.48
7.37,-0.14,-0.03,-2.35,-3.34
7.38,-0.09,-0.06,-1.37,-3.2
7.4,-0.09,-0.06,-1.61,-3.14
7.41,0.04,-0.03,0.59,-3.02
7.42,0.04,-0.03,0.34,-2.86
7.44,-0.15,-0.04,-2.35,-2.75
7.45,-0.08,-0.04,-0.88,-2.65
7.46,-0.09,-0.03,-1.37,-2.54
7.48,0.09,-0.06,1.56,-2.4
7.49,-0.01,-0.03,-0.64,-2.33
7.5,-0.13,-0.03,-2.1,-2.17
7.51,-0.08,-0.04,-1.12,-2.05
7.53,-0.07,-0.04,-0.64,-1.96
7.54,0.1,-0.02,1.56,-1.84
7.55,-0.07,-0.06,-1.12,-1.68
7.57,-0.11,-0.03,-1.61,-1.63
7.58,-0.08,-0.06,-1.12,-1.47
7.59,-0.03,-0.04,-0.39,-1.41
7.61,0.09,-0.06,1.32,-1.27
7.62,-0.12,-0.06,-1.86,-1.17
