time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
13.59,1.37,1.25,27.22,7.43
13.6,1.17,1.23,23.56,7.36
13.61,1.13,1.2,23.31,7.33
13.63,1.13,1.18,23.31,7.3
13.64,1.17,1.15,23.8,7.27
13.65,1.25,1.13,24.54,7.24
13.67,1.03,1.1,20.87,7.21
13.68,1.02,1.09,20.87,7.17
13.69,1.02,1.06,21.11,7.16
13.71,1.07,1.04,21.6,7.09
13.72,1.14,1.02,22.34,7.08
13.73,0.91,1.01,18.67,7.03
13.75,0.92,0.98,19.16,7.01
13.76,0.91,0.97,18.91,6.96
13.77,0.99,0.95,20.14,6.94
13.79,1.03,0.92,20.38,6.89
13.8,0.82,0.92,16.96,6.83
13.81,0.84,0.9,17.45,6.83
13.83,0.84,0.88,17.2,6.77
13.84,0.93,0.87,18.67,6.74
13.85,0.96,0.85,18.67,6.7
13.87,0.73,0.84,15.25,6.64
13.88,0.77,0.82,16.23,6.59
13.89,0.76,0.82,15.98,6.55
13.91,0.9,0.81,17.94,6.53
13.92,0.88,0.8,17.45,6.49
13.93,0.68,0.77,14.27,6.44
13.95,0.73,0.77,15.25,6.37
13.96,0.71,0.77,15,6.34
13.97,0.85,0.77,16.96,6.31
13.99,0.84,0.76,16.23,6.28
14,0.63,0.76,13.29,6.22
14.01,0.69,0.75,14.52,6.18
14.03,0.68,0.75,14.52,6.12
14.04,0.84,0.75,16.72,6.08
14.05,0.8,0.74,15.49,6.04
14.07,0.62,0.75,13.05,5.97
14.08,0.68,0.74,14.27,5.96
14.09,0.66,0.75,14.27,5.88
14.11,0.85,0.75,16.96,5.86
14.12,0.76,0.74,15,5.81
14.13,0.62,0.75,13.29,5.74
14.15,0.68,0.74,14.52,5.71
14.16,0.68,0.75,14.27,5.63
14.17,0.87,0.77,17.2,5.6
14.19,0.75,0.76,15,5.58
14.2,0.64,0.76,13.78,5.5
14.21,0.7,0.77,14.76,5.44
14.23,0.71,0.77,15,5.4
14.24,0.9,0.77,17.69,5.33
14.25,0.75,0.79,15.49,5.27
14.27,0.68,0.8,14.52,5.23
14.28,0.74,0.81,15.49,5.18
14.29,0.75,0.81,15.98,5.14
14.31,0.93,0.82,18.43,5.07
14.32,0.79,0.82,15.98,5.01
14.33,0.71,0.82,15.49,4.94
14.35,0.77,0.85,16.23,4.86
14.36,0.79,0.84,16.47,4.83
14.37,0.95,0.87,18.91,4.73
14.39,0.79,0.86,16.23,4.72
14.4,0.75,0.86,15.98,4.61
14.41,0.8,0.87,16.96,4.53
14.43,0.84,0.9,17.94,4.47
14.44,1.01,0.93,20.14,4.42
14.45,0.85,0.95,17.69,4.41
14.47,0.85,0.99,18.18,4.35
14.48,0.91,1.02,19.4,4.35
14.49,0.98,1.06,20.87,4.31
14.5,1.14,1.1,22.83,4.29
14.52,0.97,1.13,20.63,4.3
14.53,1.02,1.18,21.85,4.24
14.54,1.08,1.21,23.07,4.25
14.56,1.19,1.26,25.02,4.22
14.57,1.32,1.3,26.98,4.22
14.58,1.17,1.35,24.54,4.19
14.6,1.23,1.37,26,4.19
14.61,1.28,1.42,26.98,4.13
14.62,1.41,1.47,29.42,4.13
14.64,1.51,1.52,30.65,4.13
14.65,1.35,1.56,28.45,4.12
14.66,1.42,1.62,30.16,4.09
14.68,1.47,1.67,31.13,4.11
14.69,1.63,1.7,33.82,4.11
14.7,1.72,1.75,35.04,4.07
14.72,1.56,1.8,32.84,4.06
14.73,1.64,1.85,34.8,4.05
14.74,1.69,1.87,35.78,4.03
14.76,1.86,1.92,38.71,3.97
14.77,1.94,1.98,39.69,3.96
14.78,1.78,2.05,37.49,3.96
14.8,1.89,2.09,39.69,3.98
14.81,1.92,2.13,40.66,3.96
14.82,2.12,2.19,43.84,3.92
14.84,2.17,2.24,44.33,3.93
14.85,2.01,2.29,42.38,3.91
14.86,2.13,2.35,44.82,3.89
14.88,2.17,2.41,45.55,3.9
14.89,2.39,2.46,49.22,3.91
14.9,2.41,2.52,49.46,3.9
14.92,2.28,2.57,47.75,3.9
14.93,2.4,2.63,50.2,3.88
14.94,2.44,2.68,50.93,3.89
14.96,2.66,2.74,54.59,3.86
14.97,2.66,2.79,54.35,3.87
14.98,2.55,2.85,53.62,3.85
15,2.67,2.93,55.82,3.85
15.01,2.73,2.99,57.04,3.89
15.02,2.95,3.04,60.7,3.89
15.04,2.91,3.1,59.97,3.87
15.05,2.84,3.16,59.48,3.88
15.06,2.96,3.22,61.68,3.88
15.07,3.01,3.28,62.66,3.89
15.09,3.26,3.34,66.57,3.9
15.1,3.18,3.39,65.59,3.91
15.11,3.13,3.45,65.1,3.89
15.13,3.24,3.51,67.55,3.89
15.14,3.3,3.55,68.52,3.9
15.15,3.54,3.6,72.19,3.86
15.17,3.45,3.68,70.97,3.84
15.18,3.41,3.73,70.97,3.9
15.19,3.52,3.8,72.92,3.88
15.21,3.59,3.85,74.39,3.91
15.22,3.82,3.91,78.05,3.9
15.23,3.71,3.96,76.34,3.91
15.25,3.7,4,76.83,3.89
15.26,3.8,4.06,78.79,3.85
15.27,3.88,4.13,80.01,3.87
15.29,4.1,4.22,83.68,3.9
15.3,3.98,4.26,81.72,3.96
15.31,3.99,4.31,82.7,3.93
15.33,4.07,4.37,84.41,3.92
15.34,4.16,4.4,85.87,3.93
15.35,4.34,4.45,88.56,3.9
15.37,4.21,4.5,86.61,3.89
15.38,4.26,4.57,88.32,3.88
15.39,4.34,4.62,89.54,3.92
15.41,4.45,4.68,91.74,3.92
15.42,4.61,4.73,93.94,3.94
15.43,4.46,4.78,91.74,3.94
15.45,4.53,4.81,93.21,3.94
15.46,4.59,4.87,94.43,3.89
15.47,4.71,4.93,96.87,3.91
15.49,4.86,4.98,98.83,3.94
15.5,4.7,5.03,96.63,3.94
15.51,4.77,5.08,98.34,3.94
15.53,4.83,5.11,99.32,3.95
15.54,4.97,5.16,101.76,3.93
15.55,5.08,5.2,103.23,3.93
15.57,4.92,5.23,101.03,3.91
15.58,4.99,5.31,102.74,3.9
15.59,5.05,5.36,103.96,3.95
15.61,5.19,5.41,106.4,3.97
15.62,5.3,5.44,107.62,3.98
15.63,5.14,5.48,105.67,3.97
15.65,5.21,5.52,107.14,3.96
15.66,5.26,5.55,108.11,3.95
15.67,5.39,5.59,110.31,3.94
15.69,5.5,5.64,111.78,3.94
15.7,5.33,5.69,109.34,3.96
15.71,5.42,5.72,111.29,3.99
15.73,5.47,5.77,112.02,3.98
15.74,5.59,5.8,114.22,4
15.75,5.7,5.83,115.69,3.98
15.77,5.53,5.87,113,3.98
15.78,5.58,5.91,114.47,3.99
15.79,5.63,5.94,115.44,4
15.81,5.75,5.96,117.64,4
15.82,5.86,6,118.87,3.97
15.83,5.69,6.04,116.42,4.01
15.85,5.75,6.07,118.13,4.02
15.86,5.78,6.1,118.87,4.01
15.87,5.91,6.11,120.82,4.03
15.89,6.02,6.16,122.04,4
15.9,5.83,6.19,119.6,4.04
15.91,5.89,6.21,120.82,4.04
15.93,5.93,6.24,121.55,4.04
15.94,6.04,6.26,123.51,4.04
15.95,6.14,6.29,124.73,4.05
15.97,5.97,6.31,122.04,4.05
15.98,6.02,6.33,123.51,4.06
15.99,6.05,6.36,124,4.07
16.01,6.16,6.38,125.95,4.08
16.02,6.25,6.41,126.93,4.09
16.03,6.08,6.42,124.24,4.11
16.05,6.13,6.44,125.46,4.1
16.06,6.15,6.47,125.95,4.12
16.07,6.26,6.48,127.91,4.14
16.09,6.33,6.49,128.89,4.13
16.1,6.15,6.51,125.95,4.13
16.11,6.2,6.53,127.17,4.13
16.13,6.22,6.53,127.66,4.16
16.14,6.33,6.55,129.13,4.14
16.15,6.41,6.57,130.11,4.18
16.17,6.22,6.58,127.42,4.18
16.18,6.26,6.58,128.15,4.2
16.19,6.29,6.58,128.64,4.18
16.21,6.38,6.6,130.35,4.18
16.22,6.46,6.6,131.09,4.22
16.23,6.27,6.62,128.4,4.21
16.25,6.31,6.62,129.37,4.23
16.26,6.32,6.64,129.37,4.23
16.27,6.43,6.65,131.09,4.28
16.29,6.51,6.64,132.06,4.31
16.3,6.31,6.65,129.13,4.29
16.31,6.35,6.66,129.86,4.32
16.33,6.36,6.65,130.11,4.35
16.34,6.44,6.65,131.33,4.34
16.35,6.52,6.65,132.31,4.35
16.37,6.33,6.66,129.37,4.36
16.38,6.36,6.66,130.11,4.4
16.39,6.37,6.66,130.35,4.42
16.41,6.44,6.66,131.57,4.44
16.42,6.53,6.66,132.31,4.46
16.43,6.33,6.66,129.37,4.49
16.45,6.35,6.65,129.86,4.51
16.46,6.36,6.65,130.11,4.52
16.47,6.43,6.64,131.33,4.54
16.49,6.52,6.64,132.06,4.55
16.5,6.32,6.63,128.89,4.59
16.51,6.33,6.62,129.37,4.6
16.53,6.35,6.63,129.62,4.61
16.54,6.4,6.6,130.35,4.67
16.55,6.48,6.59,131.33,4.67
16.57,6.29,6.59,128.4,4.68
16.58,6.3,6.58,128.64,4.73
16.59,6.31,6.57,128.89,4.75
16.61,6.35,6.57,129.62,4.77
16.62,6.46,6.55,130.6,4.83
16.63,6.25,6.54,127.42,4.85
16.65,6.25,6.54,127.66,4.88
16.66,6.26,6.53,127.91,4.94
16.67,6.31,6.52,128.64,4.97
16.69,6.42,6.51,129.86,5
16.7,6.22,6.51,126.69,5.04
16.71,6.22,6.49,127.17,5.1
16.73,6.24,6.48,127.17,5.14
16.74,6.27,6.48,127.91,5.18
16.75,6.38,6.48,129.13,5.25
16.77,6.19,6.46,125.95,5.31
16.78,6.18,6.46,126.2,5.33
16.79,6.2,6.43,126.44,5.41
16.81,6.22,6.44,126.93,5.43
16.82,6.35,6.43,128.4,5.53
16.83,6.14,6.4,124.98,5.58
16.85,6.11,6.38,124.98,5.59
16.86,6.14,6.37,125.22,5.64
16.87,6.15,6.35,125.46,5.7
16.89,6.26,6.32,126.44,5.73
16.9,6.05,6.3,123.02,5.76
16.91,6.02,6.26,122.53,5.8
16.93,6.02,6.25,122.53,5.81
16.94,6.03,6.2,122.53,5.87
16.95,6.13,6.16,123.75,5.87
16.97,5.92,6.15,120.33,5.88
16.98,5.88,6.14,119.84,5.95
16.99,5.88,6.05,119.6,6.02
17.01,5.88,6.05,119.6,5.94
17.02,5.98,6,120.58,6.03
17.03,5.76,5.99,116.91,6.03
17.05,5.71,5.93,116.42,6.11
17.06,5.71,5.89,116.18,6.08
17.07,5.71,5.87,115.93,6.11
17.09,5.81,5.82,116.91,6.16
17.1,5.59,5.77,113.25,6.16
17.11,5.53,5.72,112.27,6.16
17.13,5.53,5.67,112.27,6.18
17.14,5.52,5.65,112.02,6.18
17.15,5.61,5.6,113,6.23
17.17,5.39,5.56,109.34,6.25
17.18,5.33,5.53,108.36,6.28
17.19,5.32,5.48,108.11,6.32
17.21,5.31,5.44,107.62,6.32
17.22,5.41,5.38,108.6,6.37
17.23,5.19,5.34,104.94,6.35
17.25,5.11,5.31,103.96,6.38
17.26,5.1,5.26,103.47,6.43
17.27,5.09,5.21,103.47,6.44
17.29,5.19,5.14,104.2,6.45
17.3,4.98,5.1,100.54,6.42
17.31,4.89,5.06,99.32,6.46
17.33,4.88,5.03,99.07,6.5
17.34,4.87,4.98,98.83,6.54
17.35,4.97,4.93,99.56,6.56
17.37,4.72,4.86,95.41,6.57
17.38,4.66,4.82,94.67,6.55
17.39,4.65,4.77,94.43,6.59
17.4,4.65,4.72,94.18,6.6
17.42,4.72,4.68,94.67,6.61
17.43,4.48,4.61,90.76,6.66
17.44,4.44,4.59,90.27,6.63
17.46,4.42,4.54,89.54,6.69
17.47,4.43,4.49,89.54,6.72
17.48,4.49,4.42,90.03,6.73
17.5,4.23,4.38,85.87,6.7
17.51,4.21,4.34,85.39,6.75
17.52,4.17,4.29,84.65,6.79
17.54,4.21,4.23,85.14,6.81
17.55,4.24,4.21,84.9,6.81
17.56,3.99,4.13,80.99,6.87
17.58,3.98,4.1,80.74,6.84
17.59,3.94,4.06,80.01,6.89
17.6,3.98,4,80.25,6.93
17.62,4,3.96,80.25,6.92
17.63,3.76,3.89,76.1,6.96
17.64,3.74,3.85,76.1,6.94
17.66,3.71,3.8,75.12,6.98
17.67,3.77,3.77,76.1,6.99
17.68,3.76,3.7,75.12,7.04
17.7,3.5,3.68,71.21,7
17.71,3.51,3.62,71.21,7.09
17.72,3.46,3.56,70.48,7.09
17.74,3.56,3.52,71.46,7.07
17.75,3.51,3.48,70.23,7.11
17.76,3.27,3.41,66.57,7.13
17.78,3.28,3.39,66.81,7.12
17.79,3.23,3.33,65.84,7.18
17.8,3.34,3.3,67.3,7.17
17.82,3.28,3.24,65.84,7.23
17.83,3.05,3.21,62.17,7.21
17.84,3.06,3.17,62.41,7.23
17.86,3.01,3.12,61.44,7.27
17.87,3.13,3.06,62.9,7.28
17.88,3.05,3.04,60.95,7.26
17.9,2.83,2.99,57.77,7.32
17.91,2.85,2.95,58.26,7.32
17.92,2.82,2.89,57.53,7.35
17.94,2.95,2.86,58.99,7.33
17.95,2.83,2.84,56.55,7.38
17.96,2.64,2.77,53.86,7.43
17.98,2.66,2.75,54.11,7.39
17.99,2.62,2.71,53.37,7.46
18,2.75,2.67,55.08,7.45
18.02,2.61,2.61,52.39,7.47
18.03,2.45,2.6,49.95,7.45
18.04,2.47,2.55,50.44,7.52
18.06,2.44,2.52,49.71,7.51
18.07,2.58,2.47,51.66,7.55
18.08,2.41,2.44,48.48,7.54
18.1,2.28,2.4,46.53,7.55
18.11,2.29,2.36,46.53,7.57
18.12,2.27,2.33,46.29,7.58
18.14,2.4,2.3,48,7.59
18.15,2.2,2.25,44.57,7.63
18.16,2.11,2.24,43.11,7.61
18.18,2.12,2.19,43.35,7.66
18.19,2.09,2.16,42.86,7.64
18.2,2.23,2.12,44.57,7.64
18.21,2.03,2.08,41.15,7.64
18.23,1.96,2.06,40.18,7.64
18.24,1.97,2.03,40.18,7.67
18.25,1.95,2,39.93,7.69
18.27,2.07,1.95,41.15,7.68
18.28,1.85,1.94,37.49,7.66
18.29,1.8,1.9,36.75,7.69
18.31,1.8,1.87,36.75,7.68
18.32,1.81,1.83,37,7.7
18.33,1.91,1.8,37.73,7.66
18.35,1.68,1.78,34.07,7.67
18.36,1.67,1.74,34.31,7.68
18.37,1.65,1.72,33.82,7.66
18.39,1.69,1.68,34.31,7.67
18.4,1.76,1.65,34.8,7.65
18.42,1.53,1.62,31.13,7.65
18.43,1.52,1.59,31.13,7.62
18.44,1.51,1.57,30.89,7.62
18.45,1.57,1.53,31.87,7.62
18.47,1.62,1.51,31.87,7.59
18.48,1.39,1.48,28.45,7.58
18.5,1.4,1.45,28.69,7.57
18.51,1.36,1.42,27.96,7.54
18.52,1.45,1.4,29.18,7.52
18.53,1.46,1.39,28.93,7.51
18.55,1.23,1.35,25.27,7.51
18.56,1.26,1.32,26,7.47
18.57,1.23,1.29,25.27,7.45
18.59,1.32,1.28,26.49,7.41
18.6,1.32,1.24,26,7.4
18.61,1.09,1.21,22.58,7.35
18.63,1.13,1.19,23.31,7.33
18.64,1.1,1.15,23.07,7.3
18.65,1.23,1.14,24.54,7.24
18.67,1.2,1.12,23.8,7.23
18.68,0.98,1.09,20.38,7.2
18.69,1.03,1.07,21.11,7.16
18.71,0.99,1.06,20.38,7.12
18.72,1.13,1.03,22.58,7.1
18.73,1.08,1.02,21.36,7.06
18.75,0.87,0.99,18.18,7.04
18.76,0.92,0.97,19.16,6.99
18.77,0.9,0.96,18.67,6.94
18.79,1.06,0.93,20.87,6.91
18.8,0.98,0.91,19.16,6.86
18.81,0.8,0.9,16.47,6.8
18.83,0.84,0.9,17.45,6.77
18.84,0.82,0.87,17.2,6.76
18.85,0.99,0.86,19.65,6.7
18.87,0.88,0.85,17.45,6.66
18.88,0.73,0.82,15.25,6.62
18.89,0.77,0.82,16.23,6.55
18.91,0.77,0.81,16.23,6.54
18.92,0.95,0.81,18.43,6.49
18.93,0.81,0.79,15.98,6.47
18.95,0.68,0.79,14.27,6.39
18.96,0.73,0.77,15.25,6.36
18.97,0.71,0.77,15.25,6.31
18.98,0.9,0.76,17.45,6.28
19,0.75,0.75,15,6.22
19.01,0.64,0.75,13.54,6.16
19.02,0.7,0.75,14.52,6.12
19.04,0.7,0.74,14.76,6.09
19.05,0.86,0.74,16.72,6.02
19.06,0.7,0.74,14.27,5.98
19.08,0.64,0.74,13.54,5.93
19.09,0.68,0.74,14.27,5.89
