time(s),p(kPa),Voltage(V)
3.01,-0.03,4.90
3.02,-0.03,4.90
3.04,0.00,4.90
3.05,0.02,5.00
3.06,0.03,5.03
3.07,0.04,5.05
3.09,0.05,5.07
3.10,0.05,5.08
3.11,0.07,5.06
3.12,0.08,5.07
3.13,0.09,5.07
3.14,0.10,5.08
3.16,0.09,5.08
3.17,0.11,5.00
3.18,0.13,5.03
3.19,0.13,5.02
3.21,0.14,4.98
3.22,0.15,4.96
3.23,0.18,4.94
3.24,0.19,4.96
3.25,0.20,4.93
3.27,0.21,4.90
3.28,0.21,4.87
3.29,0.24,4.81
3.30,0.25,4.80
3.31,0.29,4.76
3.33,0.32,4.79
3.34,0.35,4.82
3.35,0.38,4.81
3.36,0.41,4.83
3.37,0.41,4.82
3.39,0.43,4.72
3.40,0.47,4.70
3.41,0.49,4.71
3.42,0.53,4.69
3.43,0.58,4.68
3.45,0.62,4.73
3.46,0.64,4.74
3.47,0.66,4.69
3.48,0.69,4.65
3.49,0.73,4.62
3.51,0.77,4.61
3.52,0.82,4.63
3.53,0.87,4.65
3.54,0.91,4.68
3.55,0.93,4.66
3.57,0.95,4.60
3.58,0.98,4.51
3.59,1.04,4.50
3.60,1.10,4.53
3.61,1.13,4.58
3.63,1.17,4.52
3.64,1.21,4.50
3.65,1.25,4.49
3.66,1.29,4.46
3.67,1.34,4.42
3.69,1.39,4.42
3.70,1.42,4.42
3.71,1.47,4.38
3.72,1.52,4.37
3.73,1.57,4.37
3.75,1.61,4.36
3.76,1.67,4.31
3.77,1.69,4.33
3.78,1.74,4.25
3.79,1.79,4.24
3.81,1.84,4.23
3.82,1.90,4.20
3.83,1.94,4.23
3.84,1.98,4.18
3.86,2.05,4.15
3.87,2.09,4.17
3.88,2.16,4.15
3.89,2.19,4.18
3.90,2.25,4.11
3.92,2.30,4.13
3.93,2.36,4.10
3.94,2.41,4.12
3.95,2.47,4.10
3.96,2.53,4.11
3.98,2.60,4.13
3.99,2.66,4.14
4.00,2.71,4.15
4.01,2.75,4.13
4.02,2.79,4.09
4.03,2.86,4.05
4.05,2.93,4.10
4.06,2.99,4.11
4.07,3.05,4.11
4.08,3.11,4.14
4.10,3.16,4.16
4.11,3.21,4.12
4.12,3.26,4.10
4.13,3.30,4.08
4.14,3.39,4.07
4.16,3.44,4.15
4.17,3.49,4.13
4.18,3.55,4.11
4.19,3.61,4.15
4.20,3.66,4.16
4.22,3.72,4.14
4.23,3.76,4.16
4.24,3.82,4.11
4.25,3.87,4.14
4.26,3.93,4.13
4.28,3.98,4.16
4.29,4.02,4.15
4.30,4.09,4.14
4.31,4.12,4.17
4.32,4.17,4.12
4.34,4.22,4.13
4.35,4.27,4.13
4.36,4.33,4.13
4.37,4.38,4.16
4.38,4.42,4.17
4.40,4.48,4.14
4.41,4.51,4.18
4.42,4.56,4.15
4.43,4.61,4.17
4.45,4.64,4.19
4.46,4.68,4.12
4.47,4.73,4.13
4.48,4.78,4.16
4.49,4.83,4.18
4.51,4.87,4.20
4.52,4.89,4.19
4.53,4.93,4.15
4.54,4.98,4.14
4.55,5.01,4.17
4.57,5.05,4.17
4.58,5.10,4.17
4.59,5.12,4.22
4.60,5.15,4.19
4.61,5.19,4.16
4.63,5.22,4.16
4.64,5.27,4.18
4.65,5.30,4.24
4.66,5.33,4.22
4.67,5.36,4.24
4.69,5.37,4.23
4.70,5.39,4.19
4.71,5.43,4.17
4.72,5.47,4.21
4.73,5.50,4.25
4.75,5.52,4.29
4.76,5.53,4.25
4.77,5.54,4.23
4.78,5.56,4.21
4.79,5.60,4.22
4.81,5.63,4.27
4.82,5.65,4.29
4.83,5.67,4.32
4.84,5.69,4.34
4.85,5.70,4.34
4.87,5.71,4.33
4.88,5.72,4.33
4.89,5.74,4.33
4.90,5.75,4.34
4.91,5.77,4.35
4.93,5.78,4.40
4.94,5.81,4.41
4.95,5.81,4.47
4.96,5.81,4.45
4.97,5.82,4.44
4.99,5.83,4.47
5.00,5.85,4.50
5.01,5.85,4.54
5.02,5.86,4.54
5.03,5.86,4.58
5.05,5.86,4.59
5.06,5.87,4.60
5.07,5.86,4.65
5.08,5.86,4.63
5.09,5.86,4.65
5.11,5.86,4.67
5.12,5.86,4.70
5.13,5.86,4.73
5.14,5.87,4.76
5.16,5.86,4.84
5.17,5.86,4.84
5.18,5.85,4.88
5.19,5.85,4.89
5.20,5.83,4.94
5.22,5.83,4.95
5.23,5.82,5.01
5.24,5.82,5.03
5.25,5.81,5.09
5.26,5.80,5.12
5.28,5.80,5.15
5.29,5.78,5.22
5.30,5.77,5.25
5.31,5.78,5.30
5.32,5.76,5.41
5.34,5.76,5.41
5.35,5.74,5.50
5.36,5.72,5.52
5.37,5.72,5.57
5.38,5.70,5.66
5.40,5.67,5.68
5.41,5.65,5.71
5.42,5.63,5.74
5.43,5.60,5.77
5.44,5.58,5.80
5.46,5.54,5.83
5.47,5.50,5.83
5.48,5.47,5.83
5.49,5.42,5.84
5.51,5.38,5.81
5.52,5.36,5.83
5.53,5.33,5.87
5.54,5.30,5.92
5.55,5.25,5.94
5.57,5.21,5.93
5.58,5.16,5.95
5.59,5.12,5.92
5.60,5.08,5.95
5.61,5.05,5.95
5.62,4.99,6.01
5.64,4.97,5.96
5.65,4.90,6.04
5.66,4.86,6.00
5.67,4.82,6.00
5.69,4.77,6.02
5.70,4.75,6.04
5.71,4.70,6.11
5.72,4.64,6.12
5.73,4.57,6.09
5.75,4.53,6.06
5.76,4.48,6.07
5.77,4.43,6.08
5.78,4.39,6.09
5.79,4.35,6.14
5.81,4.31,6.19
5.82,4.26,6.22
5.83,4.20,6.22
5.84,4.13,6.20
5.85,4.09,6.18
5.86,4.02,6.21
5.88,3.99,6.18
5.89,3.94,6.24
5.90,3.89,6.27
5.91,3.84,6.29
5.93,3.78,6.30
5.94,3.73,6.28
5.95,3.68,6.32
5.96,3.63,6.34
5.97,3.57,6.35
5.99,3.51,6.35
6.00,3.46,6.34
6.01,3.41,6.36
6.02,3.37,6.38
6.03,3.32,6.41
6.05,3.27,6.43
6.06,3.21,6.45
6.07,3.15,6.45
6.08,3.11,6.42
6.09,3.05,6.48
6.11,3.00,6.47
6.12,2.95,6.50
6.13,2.89,6.51
6.14,2.85,6.49
6.16,2.82,6.55
6.17,2.75,6.62
6.18,2.72,6.58
6.19,2.66,6.64
6.20,2.61,6.63
6.21,2.56,6.64
6.23,2.51,6.64
6.24,2.45,6.66
6.25,2.40,6.65
6.26,2.36,6.66
6.28,2.33,6.69
6.29,2.28,6.75
6.30,2.23,6.75
6.31,2.18,6.76
6.32,2.13,6.75
6.34,2.09,6.77
6.35,2.05,6.80
6.36,2.01,6.80
6.37,1.96,6.84
6.38,1.90,6.83
6.40,1.86,6.79
6.41,1.81,6.82
6.42,1.76,6.81
6.43,1.73,6.80
6.44,1.69,6.82
6.46,1.65,6.85
6.47,1.61,6.86
6.48,1.57,6.84
6.49,1.53,6.86
6.50,1.48,6.88
6.51,1.43,6.84
6.53,1.40,6.82
6.54,1.35,6.83
6.55,1.32,6.80
6.56,1.26,6.83
6.58,1.24,6.75
6.59,1.19,6.79
6.60,1.14,6.75
6.61,1.09,6.70
6.62,1.07,6.65
6.64,1.02,6.68
6.65,0.99,6.63
6.66,0.96,6.64
6.67,0.92,6.62
6.68,0.87,6.60
6.70,0.85,6.53
6.71,0.80,6.53
6.72,0.79,6.47
6.73,0.74,6.50
6.74,0.73,6.43
6.76,0.70,6.46
6.77,0.66,6.45
6.78,0.63,6.40
6.79,0.62,6.35
6.80,0.59,6.37
6.82,0.57,6.35
6.83,0.55,6.33
6.84,0.52,6.34
6.85,0.51,6.27
6.86,0.49,6.28
6.88,0.46,6.28
6.89,0.46,6.20
6.90,0.44,6.23
6.91,0.43,6.22
6.93,0.40,6.21
6.94,0.41,6.13
6.95,0.38,6.18
6.96,0.38,6.12
6.97,0.36,6.13
6.98,0.35,6.07
7.00,0.35,6.04
7.01,0.33,6.04
7.02,0.32,6.00
7.03,0.33,5.96
7.05,0.32,5.99
7.06,0.31,5.95
7.07,0.32,5.90
7.08,0.32,5.91
7.09,0.31,5.90
7.11,0.31,5.84
7.12,0.31,5.81
7.13,0.31,5.78
7.14,0.31,5.74
7.15,0.31,5.71
7.17,0.32,5.67
7.18,0.31,5.67
7.19,0.31,5.58
7.20,0.32,5.54
7.21,0.33,5.52
7.23,0.35,5.50
7.24,0.36,5.48
7.25,0.36,5.46
7.26,0.36,5.40
7.27,0.37,5.33
7.28,0.38,5.29
7.30,0.38,5.26
7.31,0.41,5.18
7.32,0.41,5.18
7.33,0.41,5.10
7.35,0.42,5.02
7.36,0.43,4.96
7.37,0.46,4.91
7.38,0.46,4.89
7.39,0.48,4.80
7.41,0.49,4.77
7.42,0.53,4.71
7.43,0.57,4.72
7.44,0.60,4.72
7.45,0.64,4.73
7.47,0.66,4.73
7.48,0.70,4.68
7.49,0.73,4.68
7.50,0.75,4.64
7.51,0.80,4.59
7.53,0.84,4.61
7.54,0.86,4.61
7.55,0.92,4.55
7.56,0.97,4.61
7.57,1.01,4.61
7.59,1.04,4.60
7.60,1.08,4.58
7.61,1.10,4.54
7.62,1.14,4.48
7.63,1.19,4.46
7.65,1.23,4.46
7.66,1.29,4.42
7.67,1.34,4.46
7.68,1.37,4.47
7.70,1.42,4.42
7.71,1.45,4.42
7.72,1.50,4.34
7.73,1.56,4.34
7.74,1.61,4.36
7.76,1.64,4.35
7.77,1.69,4.31
7.78,1.73,4.28
7.79,1.76,4.25
7.80,1.83,4.20
7.82,1.89,4.22
7.83,1.94,4.22
7.84,1.98,4.22
7.85,2.03,4.20
7.86,2.08,4.17
7.88,2.12,4.15
7.89,2.19,4.11
7.90,2.24,4.17
7.91,2.30,4.13
7.92,2.35,4.15
7.94,2.41,4.14
7.95,2.47,4.14
7.96,2.52,4.15
7.97,2.57,4.13
7.98,2.61,4.12
8.00,2.67,4.05
8.01,2.73,4.06
8.02,2.80,4.08
8.03,2.85,4.13
8.04,2.91,4.10
8.06,2.97,4.12
8.07,3.01,4.13
8.08,3.08,4.06
8.09,3.13,4.12
8.10,3.19,4.10
8.12,3.26,4.12
8.13,3.32,4.12
8.14,3.38,4.15
8.15,3.43,4.17
8.17,3.48,4.14
8.18,3.52,4.12
8.19,3.57,4.12
8.20,3.63,4.10
8.21,3.71,4.11
8.22,3.74,4.17
8.24,3.80,4.13
8.25,3.85,4.14
8.26,3.90,4.13
8.27,3.96,4.12
8.28,4.01,4.16
8.30,4.06,4.14
8.31,4.11,4.14
8.32,4.17,4.13
8.33,4.22,4.17
8.35,4.27,4.17
8.36,4.32,4.17
8.37,4.37,4.17
8.38,4.40,4.17
8.39,4.44,4.14
8.41,4.50,4.11
8.42,4.54,4.15
8.43,4.57,4.13
8.44,4.64,4.11
8.45,4.68,4.16
8.47,4.72,4.17
8.48,4.76,4.16
8.49,4.82,4.14
8.50,4.86,4.20
8.51,4.89,4.18
8.52,4.93,4.18
8.54,4.95,4.18
8.55,4.99,4.13
8.56,5.04,4.13
8.57,5.08,4.16
8.59,5.12,4.18
8.60,5.16,4.21
8.61,5.20,4.22
8.62,5.22,4.23
8.63,5.25,4.21
8.65,5.28,4.19
8.66,5.31,4.21
8.67,5.34,4.19
8.68,5.37,4.22
8.69,5.41,4.21
8.71,5.44,4.24
8.72,5.47,4.26
8.73,5.48,4.27
8.74,5.50,4.23
8.76,5.54,4.24
8.77,5.55,4.28
8.78,5.56,4.26
8.79,5.59,4.24
8.80,5.63,4.25
8.81,5.65,4.30
8.83,5.66,4.33
8.84,5.67,4.32
8.85,5.70,4.31
8.86,5.72,4.34
8.88,5.74,4.38
8.89,5.75,4.38
8.90,5.76,4.38
8.91,5.77,4.39
8.92,5.77,4.41
8.94,5.80,4.38
8.95,5.80,4.44
8.96,5.81,4.42
8.97,5.82,4.45
8.98,5.83,4.47
9.00,5.85,4.50
9.01,5.85,4.54
9.02,5.85,4.54
9.03,5.86,4.54
9.04,5.85,4.58
9.06,5.85,4.56
9.07,5.86,4.57
9.08,5.86,4.62
9.09,5.86,4.64
9.10,5.87,4.67
9.11,5.86,4.73
9.13,5.86,4.72
9.14,5.86,4.75
9.15,5.85,4.79
9.16,5.86,4.79
9.18,5.85,4.87
9.19,5.85,4.88
9.20,5.82,4.93
9.21,5.83,4.90
9.22,5.81,4.99
9.24,5.82,4.98
9.25,5.81,5.07
9.26,5.80,5.10
9.27,5.80,5.14
9.28,5.78,5.20
9.30,5.78,5.23
9.31,5.76,5.31
9.32,5.77,5.32
9.33,5.75,5.43
9.35,5.75,5.44
9.36,5.74,5.53
9.37,5.72,5.59
9.38,5.70,5.63
9.39,5.70,5.65
9.40,5.66,5.76
9.42,5.63,5.75
9.43,5.59,5.73
9.44,5.56,5.73
9.45,5.55,5.77
9.47,5.52,5.84
9.48,5.49,5.84
9.49,5.44,5.88
9.50,5.42,5.85
9.51,5.36,5.90
9.52,5.33,5.84
9.54,5.30,5.89
9.55,5.26,5.90
9.56,5.22,5.92
9.57,5.19,5.95
9.59,5.14,5.96
9.60,5.09,5.95
9.61,5.05,5.94
9.62,5.00,5.98
9.63,4.97,5.96
9.65,4.93,5.99
9.66,4.88,6.04
9.67,4.83,6.04
9.68,4.79,6.02
9.69,4.75,6.06
9.71,4.70,6.08
9.72,4.64,6.08
