time(s),p(kPa),Voltage(V)
3.01,-0.03,4.75
3.02,-0.01,4.74
3.04,0.03,4.92
3.05,0.04,5.19
3.06,0.05,5.26
3.07,0.07,5.32
3.09,0.07,5.37
3.10,0.08,5.31
3.11,0.09,5.35
3.12,0.10,5.38
3.13,0.10,5.39
3.14,0.10,5.30
3.16,0.11,5.21
3.17,0.13,5.20
3.18,0.14,5.18
3.19,0.14,5.15
3.21,0.16,5.03
3.22,0.16,5.08
3.23,0.18,4.93
3.24,0.19,4.87
3.25,0.20,4.82
3.27,0.22,4.73
3.28,0.26,4.75
3.29,0.30,4.86
3.30,0.32,4.95
3.31,0.33,4.95
3.33,0.33,4.84
3.34,0.36,4.62
3.35,0.41,4.59
3.36,0.47,4.75
3.37,0.51,5.00
3.39,0.51,5.02
3.40,0.51,4.79
3.41,0.53,4.53
3.42,0.60,4.46
3.43,0.68,4.75
3.45,0.70,5.07
3.46,0.70,4.98
3.47,0.70,4.66
3.48,0.76,4.36
3.49,0.84,4.57
3.51,0.88,4.84
3.52,0.88,4.89
3.53,0.88,4.56
3.54,0.93,4.26
3.55,1.04,4.28
3.57,1.12,4.82
3.58,1.12,5.06
3.59,1.10,4.73
3.60,1.13,4.25
3.61,1.23,4.08
3.63,1.34,4.49
3.64,1.37,5.03
3.65,1.35,4.91
3.66,1.35,4.33
3.68,1.42,3.94
3.69,1.54,4.11
3.70,1.62,4.72
3.71,1.61,4.91
3.72,1.58,4.40
3.73,1.63,3.77
3.75,1.78,3.78
3.76,1.87,4.54
3.77,1.87,4.87
3.78,1.85,4.44
3.79,1.87,3.86
3.81,2.00,3.63
3.82,2.11,4.14
3.83,2.14,4.58
3.84,2.16,4.48
3.86,2.16,4.10
3.87,2.24,3.66
3.88,2.35,3.91
3.89,2.42,4.38
3.90,2.44,4.48
3.92,2.45,4.13
3.93,2.51,3.78
3.94,2.62,3.82
3.95,2.72,4.25
3.96,2.73,4.59
3.98,2.73,4.23
3.99,2.78,3.74
4.00,2.89,3.72
4.01,3.00,4.15
4.02,3.05,4.54
4.03,3.05,4.47
4.05,3.05,4.06
4.06,3.15,3.61
4.07,3.26,3.90
4.08,3.33,4.33
4.10,3.35,4.51
4.11,3.37,4.22
4.12,3.41,3.87
4.13,3.51,3.81
4.14,3.61,4.19
4.16,3.65,4.49
4.17,3.65,4.35
4.18,3.67,3.91
4.19,3.77,3.71
4.20,3.88,4.02
4.22,3.93,4.47
4.23,3.94,4.43
4.24,3.95,4.10
4.25,4.04,3.78
4.26,4.13,4.04
4.28,4.18,4.41
4.29,4.20,4.39
4.30,4.21,4.08
4.31,4.28,3.77
4.32,4.38,3.92
4.34,4.44,4.34
4.35,4.46,4.44
4.36,4.48,4.24
4.37,4.51,3.92
4.38,4.60,3.87
4.40,4.66,4.18
4.41,4.71,4.27
4.42,4.73,4.29
4.43,4.76,4.16
4.45,4.81,4.00
4.46,4.86,4.01
4.47,4.90,4.06
4.48,4.95,4.14
4.49,5.00,4.17
4.51,5.03,4.24
4.52,5.06,4.11
4.53,5.10,4.12
4.54,5.14,4.08
4.55,5.17,4.07
4.56,5.21,4.07
4.58,5.26,4.09
4.59,5.31,4.18
4.60,5.32,4.29
4.61,5.34,4.12
4.63,5.38,4.06
4.64,5.42,4.09
4.65,5.45,4.14
4.66,5.48,4.19
4.67,5.50,4.14
4.69,5.53,4.12
4.70,5.56,4.10
4.71,5.60,4.17
4.72,5.63,4.26
4.73,5.64,4.27
4.75,5.66,4.18
4.76,5.69,4.18
4.77,5.71,4.21
4.78,5.74,4.25
4.79,5.75,4.28
4.81,5.76,4.23
4.82,5.77,4.19
4.83,5.80,4.16
4.84,5.82,4.22
4.85,5.83,4.30
4.87,5.86,4.30
4.88,5.85,4.39
4.89,5.87,4.20
4.90,5.88,4.32
4.91,5.91,4.34
4.93,5.91,4.47
4.94,5.91,4.42
4.95,5.92,4.37
4.96,5.93,4.42
4.97,5.93,4.49
4.99,5.94,4.47
5.00,5.93,4.55
5.01,5.94,4.45
5.02,5.96,4.55
5.03,5.94,4.66
