time(s),p(kPa),Voltage(V)
6.21,2.3,6.9
6.23,2.24,6.75
6.24,2.2,6.7
6.25,2.17,6.83
6.26,2.12,6.92
6.28,2.06,6.91
6.29,2.01,6.88
6.3,1.95,6.9
6.31,1.91,6.83
6.32,1.87,6.89
6.34,1.84,6.99
6.35,1.76,7.07
6.36,1.72,6.92
6.37,1.67,6.91
6.38,1.62,6.91
6.4,1.59,6.89
6.41,1.54,7.03
6.42,1.5,7.01
6.43,1.45,6.98
6.44,1.39,6.96
6.46,1.35,6.87
6.47,1.29,6.89
6.48,1.25,6.78
6.49,1.21,6.81
6.5,1.17,6.85
6.51,1.12,6.78
6.53,1.09,6.73
6.54,1.04,6.83
6.55,1.01,6.76
6.56,0.95,6.75
6.58,0.91,6.6
6.59,0.87,6.61
6.6,0.84,6.59
6.61,0.81,6.56
6.62,0.77,6.61
6.64,0.73,6.6
6.65,0.69,6.49
6.66,0.66,6.44
6.67,0.64,6.48
6.68,0.62,6.5
6.7,0.58,6.52
6.71,0.55,6.45
6.72,0.52,6.47
6.73,0.49,6.4
6.74,0.48,6.39
6.76,0.44,6.45
6.77,0.43,6.36
6.78,0.41,6.41
6.79,0.4,6.38
6.8,0.37,6.42
6.82,0.35,6.38
6.83,0.33,6.34
6.84,0.31,6.36
6.85,0.3,6.3
6.86,0.27,6.3
6.88,0.27,6.23
6.89,0.26,6.31
6.9,0.25,6.29
6.91,0.22,6.27
6.93,0.22,6.18
6.94,0.21,6.22
6.95,0.21,6.18
6.96,0.19,6.22
6.97,0.19,6.1
6.98,0.18,6.11
7,0.16,6.05
7.01,0.16,5.98
7.02,0.18,5.98
7.03,0.16,6.05
7.05,0.16,5.96
7.06,0.15,5.94
7.07,0.16,5.84
7.08,0.16,5.88
7.09,0.18,5.84
7.11,0.18,5.86
7.12,0.16,5.81
7.13,0.16,5.68
7.14,0.18,5.61
7.15,0.19,5.62
7.17,0.19,5.61
7.18,0.19,5.53
7.19,0.2,5.44
7.2,0.22,5.41
7.21,0.22,5.46
7.23,0.24,5.34
7.24,0.24,5.31
7.25,0.25,5.19
7.26,0.26,5.14
7.27,0.27,5.07
7.28,0.27,5.01
7.3,0.29,4.87
7.31,0.3,4.78
7.32,0.33,4.7
7.33,0.37,4.77
7.35,0.4,4.82
7.36,0.43,4.78
