time(s),p(kPa),Voltage(V)
3.01,-0.03,4.81
3.02,-0.03,4.81
3.04,0.00,4.80
3.05,0.04,5.00
3.06,0.04,5.20
3.07,0.07,5.17
3.09,0.07,5.28
3.10,0.08,5.24
3.11,0.08,5.26
3.12,0.10,5.21
3.13,0.09,5.29
3.14,0.11,5.15
3.16,0.13,5.23
3.17,0.13,5.22
3.18,0.13,5.13
3.19,0.15,5.04
3.21,0.15,5.10
3.22,0.16,4.98
3.23,0.18,4.95
3.24,0.19,4.90
3.25,0.20,4.87
3.27,0.22,4.80
3.28,0.26,4.81
3.29,0.29,4.89
3.30,0.30,4.89
3.31,0.31,4.81
3.33,0.33,4.73
3.34,0.36,4.71
3.35,0.42,4.69
3.36,0.44,4.88
3.37,0.46,4.85
3.39,0.48,4.72
3.40,0.51,4.70
3.41,0.55,4.65
3.42,0.59,4.74
3.43,0.63,4.74
3.45,0.65,4.76
3.46,0.68,4.69
3.47,0.70,4.60
3.48,0.75,4.52
3.49,0.81,4.60
3.51,0.86,4.74
3.52,0.88,4.77
3.53,0.90,4.67
3.54,0.92,4.52
3.55,0.98,4.39
3.57,1.07,4.50
3.58,1.10,4.75
3.59,1.12,4.73
3.60,1.13,4.51
3.61,1.19,4.31
3.63,1.26,4.40
3.64,1.32,4.58
3.65,1.34,4.64
3.66,1.36,4.43
3.68,1.41,4.28
3.69,1.48,4.26
3.70,1.54,4.42
3.71,1.58,4.49
3.72,1.61,4.41
3.73,1.63,4.22
3.75,1.70,4.08
3.76,1.78,4.21
3.77,1.83,4.31
3.78,1.86,4.29
3.79,1.90,4.22
3.81,1.96,4.12
3.82,2.02,4.13
3.83,2.07,4.18
3.84,2.13,4.17
3.86,2.18,4.18
3.87,2.23,4.14
3.88,2.27,4.11
3.89,2.34,4.02
3.90,2.41,4.10
3.92,2.45,4.20
3.93,2.50,4.09
3.94,2.56,4.04
3.95,2.63,4.07
3.96,2.68,4.18
3.98,2.73,4.13
3.99,2.79,4.08
4.00,2.85,4.11
4.01,2.89,4.14
4.02,2.95,3.99
4.03,3.02,4.02
4.05,3.10,4.15
4.06,3.15,4.25
4.07,3.19,4.18
4.08,3.23,4.13
4.10,3.29,4.04
4.11,3.37,4.05
4.12,3.41,4.15
4.13,3.48,4.11
4.14,3.54,4.17
4.16,3.59,4.18
4.17,3.63,4.14
4.18,3.68,4.11
4.19,3.73,4.10
4.20,3.79,4.04
4.22,3.85,4.09
4.23,3.91,4.13
4.24,3.98,4.18
4.25,4.01,4.23
4.26,4.06,4.14
4.28,4.10,4.12
4.29,4.15,4.03
4.30,4.22,4.01
4.31,4.28,4.15
4.32,4.33,4.19
4.34,4.38,4.21
4.35,4.42,4.21
4.36,4.45,4.14
4.37,4.49,4.05
4.38,4.56,4.01
4.40,4.61,4.16
4.41,4.65,4.16
4.42,4.70,4.10
4.43,4.73,4.15
4.45,4.79,4.10
4.46,4.84,4.19
4.47,4.87,4.22
4.48,4.90,4.14
4.49,4.94,4.09
4.51,5.00,4.06
4.52,5.04,4.19
4.53,5.08,4.19
4.54,5.11,4.16
4.55,5.14,4.15
4.56,5.17,4.08
4.58,5.22,4.10
4.59,5.26,4.16
4.60,5.28,4.18
4.61,5.32,4.12
4.63,5.36,4.15
4.64,5.38,4.17
4.65,5.42,4.14
4.66,5.44,4.17
4.67,5.48,4.13
4.69,5.52,4.20
4.70,5.53,4.25
4.71,5.55,4.15
4.72,5.58,4.15
4.73,5.60,4.16
4.75,5.63,4.17
4.76,5.65,4.17
4.77,5.67,4.19
4.78,5.70,4.22
4.79,5.72,4.24
4.81,5.74,4.27
4.82,5.76,4.24
4.83,5.76,4.30
4.84,5.78,4.20
4.85,5.80,4.26
4.87,5.81,4.25
4.88,5.83,4.25
4.89,5.85,4.33
4.90,5.86,4.34
4.91,5.87,4.36
4.93,5.88,4.38
4.94,5.88,4.41
4.95,5.89,4.38
4.96,5.89,4.42
4.97,5.91,4.40
4.99,5.91,4.45
5.00,5.93,4.44
5.01,5.92,4.59
5.02,5.93,4.52
5.03,5.92,4.60
5.05,5.92,4.54
5.06,5.94,4.56
5.07,5.94,4.73
5.08,5.93,4.77
5.09,5.92,4.74
5.11,5.92,4.71
5.12,5.92,4.77
5.13,5.92,4.82
5.14,5.91,4.89
5.16,5.91,4.89
5.17,5.89,4.97
5.18,5.88,4.98
5.19,5.87,5.00
5.20,5.87,5.02
5.22,5.86,5.13
5.23,5.86,5.16
5.24,5.85,5.28
5.25,5.83,5.33
5.26,5.83,5.39
5.28,5.82,5.51
5.29,5.80,5.58
5.30,5.78,5.58
5.31,5.77,5.67
5.32,5.75,5.75
5.34,5.71,5.75
5.35,5.67,5.72
5.36,5.66,5.67
5.37,5.64,5.78
5.38,5.61,5.80
5.40,5.58,5.86
5.41,5.53,5.83
5.42,5.49,5.74
5.43,5.45,5.72
5.44,5.44,5.71
5.46,5.42,5.86
5.47,5.38,5.93
5.48,5.34,5.94
5.49,5.30,5.95
5.51,5.25,5.89
5.52,5.20,5.85
5.53,5.16,5.78
5.54,5.15,5.81
5.55,5.14,5.99
5.57,5.09,6.20
5.58,5.00,6.16
5.59,4.93,5.89
5.60,4.90,5.72
5.61,4.90,5.87
5.62,4.89,6.15
5.64,4.81,6.33
5.65,4.71,6.13
5.66,4.66,5.83
5.67,4.66,5.82
5.69,4.65,6.09
5.70,4.59,6.34
5.71,4.48,6.27
5.72,4.43,5.92
5.73,4.40,5.93
5.75,4.39,6.09
5.76,4.33,6.33
5.77,4.26,6.28
5.78,4.18,6.15
5.79,4.15,6.03
5.81,4.11,6.13
5.82,4.07,6.26
5.83,4.01,6.34
5.84,3.94,6.30
5.85,3.90,6.19
5.86,3.85,6.32
5.88,3.79,6.33
5.89,3.73,6.30
5.90,3.68,6.30
5.91,3.63,6.34
5.93,3.57,6.35
5.94,3.54,6.32
5.95,3.48,6.47
5.96,3.40,6.44
5.97,3.37,6.31
