time(s),p(kPa),Voltage(V)
8.19,0.00,-0.25
8.21,0.00,-0.04
8.22,0.00,0.17
8.23,0.00,0.38
8.24,0.00,16.08
8.26,0.00,21.30
8.27,0.00,13.18
8.28,0.00,11.05
8.30,0.00,9.16
8.31,0.00,7.38
8.32,0.00,5.97
8.34,0.00,5.65
8.35,0.00,6.06
8.36,0.00,6.22
8.37,0.00,6.12
8.39,0.00,6.16
8.40,0.00,6.18
8.41,0.00,6.19
8.43,0.00,6.21
8.44,0.00,6.10
8.45,0.00,6.10
8.47,0.00,6.11
8.48,0.00,6.22
8.49,0.00,6.21
8.50,0.00,6.08
8.52,0.00,6.06
8.53,0.00,6.02
8.54,0.00,6.12
8.56,0.00,6.21
8.57,0.00,6.17
8.58,0.00,6.12
8.60,0.00,6.07
8.61,0.00,6.01
8.62,0.00,6.07
8.63,0.00,6.13
8.65,0.00,6.06
8.66,0.00,6.10
8.67,0.00,6.02
8.69,0.00,6.06
8.70,0.00,6.08
8.71,0.00,5.98
8.72,0.00,6.00
8.74,0.00,6.02
8.75,0.00,6.02
8.76,0.00,6.03
8.78,0.00,6.02
8.79,0.00,6.02
8.80,0.00,5.88
8.81,0.00,5.86
8.83,0.00,5.84
8.84,0.00,5.81
8.85,0.00,5.90
8.87,0.00,5.86
8.88,0.00,5.81
8.89,0.00,5.76
8.91,0.00,5.70
8.92,0.00,5.64
8.93,0.00,5.70
8.94,0.00,5.63
8.96,0.00,5.67
8.97,0.00,5.60
8.98,0.00,5.63
9.00,0.00,5.53
9.01,0.00,5.44
9.02,0.00,5.46
9.03,0.00,5.47
9.05,0.00,5.37
9.06,0.00,5.36
9.07,0.00,5.36
9.09,0.00,5.37
9.10,0.00,5.35
9.11,0.00,5.21
9.13,0.00,5.20
9.14,0.00,5.18
9.15,0.00,5.14
9.17,0.00,4.99
9.18,0.00,4.96
9.19,0.00,4.90
9.20,0.00,4.85
9.22,0.00,4.81
9.23,0.00,4.74
9.24,0.00,5.05
9.26,0.00,5.12
9.27,0.00,5.05
9.28,0.00,4.96
9.30,0.00,4.78
9.31,0.00,4.69
9.32,0.00,4.83
9.33,0.00,5.13
9.35,0.00,5.03
9.36,0.00,4.92
9.37,0.00,4.71
9.39,0.00,4.73
9.40,0.00,4.96
9.41,0.00,5.11
9.43,0.00,4.75
9.44,0.00,4.51
9.45,0.00,4.63
9.46,0.00,5.23
9.48,0.00,5.34
9.49,0.00,5.07
9.50,0.00,4.95
9.52,0.00,4.81
9.53,0.00,4.52
9.54,0.00,4.52
9.56,0.00,5.10
9.57,0.00,5.31
9.58,0.00,4.79
9.59,0.00,4.51
9.61,0.00,4.59
9.62,0.00,5.04
9.63,0.00,5.12
9.65,0.00,4.58
9.66,0.00,4.41
9.67,0.00,4.72
9.68,0.00,5.04
9.70,0.00,4.76
9.71,0.00,4.43
9.72,0.00,4.49
9.74,0.00,4.92
9.75,0.00,4.98
9.76,0.00,4.43
9.78,0.00,4.24
9.79,0.00,4.78
9.80,0.00,5.20
9.81,0.00,4.64
9.83,0.00,4.20
9.84,0.00,4.49
9.85,0.00,5.03
9.87,0.00,4.85
9.88,0.00,4.26
9.89,0.00,4.06
9.91,0.00,4.74
9.92,0.00,5.25
9.93,0.00,4.43
9.94,0.00,3.98
9.96,0.00,4.51
9.97,0.00,5.29
9.98,0.00,4.72
10.00,0.00,4.02
10.01,0.00,4.19
10.02,0.00,4.96
10.04,0.00,5.15
10.05,0.00,4.31
10.06,0.00,3.98
10.07,0.00,4.63
10.09,0.00,5.16
10.10,0.00,4.35
10.11,0.00,4.02
10.13,0.00,4.77
10.14,0.00,5.21
10.15,0.00,4.28
10.17,0.00,3.83
10.18,0.00,4.71
10.19,0.00,5.51
10.21,0.00,4.46
10.22,0.00,4.00
10.23,0.00,4.54
10.25,0.00,5.35
10.26,0.00,4.53
10.27,0.00,3.97
10.28,0.00,4.40
10.30,0.00,5.31
10.31,0.00,4.76
10.32,0.00,4.21
10.34,0.00,4.40
10.35,0.00,5.08
10.36,0.00,4.78
10.38,0.00,4.00
10.39,0.00,3.95
10.40,0.00,5.13
10.42,0.00,5.33
10.43,0.00,4.41
10.44,0.00,4.15
10.45,0.00,4.97
10.47,0.00,5.28
10.48,0.00,4.28
10.49,0.00,4.03
10.51,0.00,4.98
10.52,0.00,5.31
10.53,0.00,4.31
10.55,0.00,4.07
10.56,0.00,5.02
10.57,0.00,5.38
10.58,0.00,4.40
10.60,0.00,4.16
10.61,0.00,5.14
10.62,0.00,5.51
10.64,0.00,4.40
10.65,0.00,4.19
10.66,0.00,4.94
10.68,0.00,5.33
10.69,0.00,4.24
10.70,0.00,4.17
10.72,0.00,5.30
10.73,0.00,5.45
10.74,0.00,4.51
10.75,0.00,4.45
10.77,0.00,4.98
10.78,0.00,5.16
10.79,0.00,4.36
10.81,0.00,4.19
10.82,0.00,5.11
10.83,0.00,5.30
10.85,0.00,4.41
10.86,0.00,4.36
10.87,0.00,5.18
10.88,0.00,5.28
10.90,0.00,4.64
10.91,0.00,4.50
