5.662,-53.80,-0.004,0.00
5.673,-53.80,-0.004,0.00
5.686,-53.80,-0.004,0.00
5.697,-53.80,-0.004,0.00
5.706,-53.80,-0.004,0.00
5.718,-53.80,-0.004,0.00
5.731,-53.80,-0.004,0.00
5.744,-53.80,-0.004,0.00
5.755,-53.80,-0.004,0.00
5.768,-53.80,-0.004,0.00
5.781,-53.80,-0.004,0.00
5.793,-53.80,-0.004,0.00
5.805,-53.80,-0.004,0.00
5.817,-53.80,-0.004,0.00
5.83,-53.80,-0.004,0.00
5.842,-53.80,-0.004,0.00
5.854,-53.80,-0.004,0.00
5.865,-53.80,-0.004,0.00
5.878,-53.80,-0.003,0.00
5.89,-53.80,-0.004,0.00
5.899,-53.80,-0.004,0.00
5.912,-53.80,-0.006,0.00
5.924,-53.80,-0.004,0.00
5.937,-53.80,-0.004,0.00
5.949,-53.80,-0.004,0.00
5.961,-53.80,-0.004,0.00
5.974,-53.80,-0.004,0.00
5.986,-53.80,-0.004,0.00
5.997,-53.80,-0.004,0.00
6.01,-53.80,-0.006,0.00
6.022,-53.80,-0.006,0.00
6.035,-53.80,-0.004,0.00
6.047,-53.80,-0.004,0.00
6.058,-53.80,-0.004,0.00
6.071,-53.80,-0.006,0.00
6.083,-53.80,-0.004,0.00
6.095,-53.80,-0.004,0.00
6.108,-53.80,-0.004,0.00
6.121,-53.80,-0.004,0.00
6.132,-53.80,-0.004,0.00
6.144,-53.80,-0.004,0.00
6.156,-53.80,-0.004,0.00
6.165,-53.80,-0.004,0.00
6.178,-53.80,-0.004,0.00
6.19,-53.80,-0.004,0.00
6.202,-53.80,-0.004,0.00
6.214,-53.80,-0.006,0.00
6.227,-53.80,-0.004,0.00
6.239,-53.80,-0.004,0.00
6.251,-53.80,-0.004,0.00
6.264,-53.80,-0.004,0.00
6.275,-53.80,-0.006,0.00
6.288,-53.80,-0.004,0.00
6.301,-53.80,-0.004,0.00
6.313,-53.80,-0.004,0.00
6.325,-53.80,-0.004,0.00
6.337,-53.80,-0.004,0.00
6.35,-53.80,-0.004,0.00
6.362,-53.80,-0.004,0.00
6.374,-53.80,-0.004,0.00
6.386,-53.80,-0.004,0.00
6.398,-53.80,-0.004,0.00
6.407,-53.80,-0.004,0.00
6.42,-53.80,-0.004,0.00
6.432,-53.80,-0.004,0.00
6.444,-53.80,-0.004,0.00
6.456,-53.80,-0.004,0.00
6.469,-53.80,-0.004,0.00
6.481,-53.80,-0.004,0.00
6.493,-53.80,-0.004,0.00
6.505,-53.80,-0.006,0.00
6.517,-53.80,-0.004,0.00
6.53,-53.80,-0.006,0.00
6.542,-53.80,-0.004,0.00
6.554,-53.80,-0.004,0.00
6.567,-53.80,-0.004,0.00
6.579,-53.80,-0.004,0.00
6.591,-53.80,-0.004,0.00
6.604,-53.80,-0.004,0.00
6.616,-53.80,-0.004,0.00
6.628,-53.80,-0.004,0.00
6.64,-53.80,-0.004,0.00
6.648,-53.80,-0.004,0.00
6.661,-53.80,-0.004,0.00
6.673,-53.80,-0.004,0.00
6.685,-53.80,-0.004,0.00
6.697,-53.80,-0.004,0.00
6.71,-53.80,-0.004,0.00
6.723,-53.80,-0.004,0.00
6.734,-53.80,-0.004,0.00
6.747,-53.80,-0.004,0.00
6.76,-53.80,-0.004,0.00
6.772,-53.80,-0.004,0.00
6.783,-53.80,-0.004,0.00
6.796,-53.80,-0.004,0.00
6.808,-53.80,-0.004,0.00
6.82,-53.80,-0.004,0.00
6.833,-53.80,-0.004,0.00
6.845,-53.80,-0.004,0.00
6.857,-53.80,-0.004,0.00
6.869,-53.80,-0.004,0.00
6.881,-53.80,-0.004,0.00
6.893,-53.80,-0.004,0.00
6.902,-53.80,-0.004,0.00
6.914,-53.80,-0.006,0.00
