time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,13.97516477,149.14608,,,163.1212448,,155.2,153.1212448,,,155.2,0,-1.339404141,,0.0001794,0.004816069
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,14.00153146,149.14608,,,163.1476115,,155.2,153.1476115,,,155.2,0.019,-1.322415298,,0.000174878,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,13.99002585,148.99952,,,162.9895459,,155.2,152.9895459,,,155.2,0.044,-1.424261693,,0.000202852,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,14.06589105,148.96288,,,163.028771,,155.1,153.028771,,,155.1,0.064,-1.335415184,,0.000178333,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,14.2169898,148.8896,,,163.1065898,,155.1,153.1065898,,,155.1,0.084,-1.285241908,,0.000165185,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,14.36413798,148.77968,,,163.143818,,155.1,153.143818,,,155.1,0.101,-1.26123921,,0.000159072,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,14.48755409,148.7064,,,163.1939541,,155.1,153.1939541,,,155.1,0.122,-1.228914193,,0.000151023,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,14.63283177,148.59648,,,163.2293118,,155,153.2293118,,,155,0.131,-1.142379503,,0.000130503,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,14.72910109,148.5232,,,163.2523011,,154.8,153.2523011,,,154.8,0.161,-0.999805496,,9.99611E-05,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,14.74144459,148.37664,,,163.1180846,,154.6,153.1180846,,,154.6,0.178,-0.958548133,,9.18815E-05,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,14.76369875,148.34,,,163.1036988,,154.4,153.1036988,,,154.4,0.203,-0.839573347,,7.04883E-05,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,14.66784555,148.12016,,,162.7880055,,154.2,152.7880055,,,154.2,0.217,-0.915690306,,8.38489E-05,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,14.57928163,147.9736,,,162.5528816,,153.9,152.5528816,,,153.9,0.242,-0.87532058,,7.66186E-05,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,14.67760824,147.93696,,,162.6145682,,153.7,152.6145682,,,153.7,0.262,-0.706201538,,4.98721E-05,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,14.64012552,147.7904,,,162.4305255,,153.4,152.4305255,,,153.4,0.282,-0.631991186,,3.99413E-05,
