time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length,Estimated_Stretched_Length_Contraction,Estimated_Unstretched_Length_Contraction,Estimated_Stretched_Length_Extension,Estimated_Unstretched_Length_Extension,Estimated_Length_Contraction,Estimated_Length_Extension,real_length_contraction,Real_Estimated_Length_Contraction,real_length_extension,Real_Estimated_Length_Extension,real_length,time_elapsed,Error_Percentage_Contraction,Error_Percentage_Extension,,
10.015,155.2,0.428,46.5,0,0.428,182.2,46.5,,,,,156.1365855,,26.4975107,149.14608,,,175.6435907,,155.2,165.6435907,,,155.2,0,6.729117721,,0.004528103,0.047827159
10.034,155.2,0.428,46.6,0.019,0.428,182.2,46.6,,,,,156.1418866,,26.51556432,149.14608,,,175.6616443,,155.2,165.6616443,,,155.2,0.019,6.740750205,,0.004543771,
10.059,155.2,0.432,46.6,0.044,0.432,182.2,46.6,,,,,156.0638883,,26.44793906,148.99952,,,175.4474591,,155.2,165.4474591,,,155.2,0.044,6.602744243,,0.004359623,
10.079,155.1,0.433,46.9,0.064,0.433,182.1,46.9,,,,,156.0604142,,26.48511906,148.96288,,,175.4479991,,155.1,165.4479991,,,155.1,0.064,6.671824026,,0.004451324,
10.099,155.1,0.435,47.5,0.084,0.435,182.1,47.5,,,,,156.0534973,,26.55865487,148.8896,,,175.4482549,,155.1,165.4482549,,,155.1,0.084,6.671988957,,0.004451544,
10.116,155.1,0.438,48.1,0.101,0.438,182.1,48.1,,,,,156.0266562,,26.61356023,148.77968,,,175.3932402,,155.1,165.3932402,,,155.1,0.101,6.636518524,,0.004404338,
10.137,155.1,0.44,48.6,0.122,0.44,182.1,48.6,,,,,156.0142094,,26.66712709,148.7064,,,175.3735271,,155.1,165.3735271,,,155.1,0.122,6.623808571,,0.004387484,
10.146,155,0.443,49.2,0.131,0.443,182,49.2,,,,,155.9870849,,26.71955953,148.59648,,,175.3160395,,155,165.3160395,,,155,0.131,6.655509372,,0.00442958,
10.176,154.8,0.445,49.6,0.161,0.445,181.8,49.6,,,,,155.9688877,,26.75373519,148.5232,,,175.2769352,,154.8,165.2769352,,,154.8,0.161,6.768045988,,0.004580645,
10.193,154.6,0.449,49.7,0.178,0.449,181.6,49.7,,,,,155.8918787,,26.69733831,148.37664,,,175.0739783,,154.6,165.0739783,,,154.6,0.178,6.774888949,,0.004589912,
10.218,154.4,0.45,49.8,0.203,0.45,181.4,49.8,,,,,155.8767032,,26.69614494,148.34,,,175.0361449,,154.4,165.0361449,,,154.4,0.203,6.888694908,,0.004745412,
10.232,154.2,0.456,49.5,0.217,0.456,181.2,49.5,,,,,155.730203,,26.52572946,148.12016,,,174.6458895,,154.2,164.6458895,,,154.2,0.217,6.774247379,,0.004589043,
10.257,153.9,0.46,49.2,0.242,0.46,180.9,49.2,,,,,155.6230368,,26.38960141,147.9736,,,174.3632014,,153.9,164.3632014,,,153.9,0.242,6.798701368,,0.004622234,
10.277,153.7,0.461,49.6,0.262,0.461,180.7,49.6,,,,,155.6252242,,26.44166241,147.93696,,,174.3786224,,153.7,164.3786224,,,153.7,0.262,6.947704884,,0.00482706,
10.297,153.4,0.465,49.5,0.282,0.465,180.4,49.5,,,,,155.5276906,,26.33863039,147.7904,,,174.1290304,,153.4,164.1290304,,,153.4,0.282,6.994152799,,0.004891817,
10.317,153.2,0.468,48.9,0.302,0.468,180.2,48.9,,,,,155.4190473,,26.16159724,147.68048,,,173.8420772,,153.2,163.8420772,,,153.2,0.302,6.946525613,,0.004825422,
10.338,152.9,0.473,49.1,0.323,0.473,179.9,49.1,,,,,155.3119654,,26.08558653,147.49728,,,173.5828665,,152.9,163.5828665,,,152.9,0.323,6.986832264,,0.004881583,
10.357,152.7,0.475,49.5,0.342,0.475,179.7,49.5,,,,,155.2897496,,26.11442926,147.424,,,173.5384293,,152.7,163.5384293,,,152.7,0.342,7.097858065,,0.005037959,
10.378,152.5,0.478,49.3,0.363,0.478,179.5,49.3,,,,,155.2020686,,26.00584915,147.31408,,,173.3199291,,152.5,163.3199291,,,152.5,0.363,7.095035508,,0.005033953,
10.394,152.3,0.483,49.1,0.379,0.483,179.3,49.1,,,,,155.0613937,,25.84552429,147.13088,,,172.9764043,,152.3,162.9764043,,,152.3,0.379,7.010114438,,0.00491417,
10.407,152,0.489,49.3,0.392,0.489,179,49.3,,,,,154.918581,,25.73180859,146.91104,,,172.6428486,,152,162.6428486,,,152,0.392,7.001874075,,0.004902624,
10.434,151.8,0.493,49.5,0.419,0.493,178.8,49.5,,,,,154.8258238,,25.66588844,146.76448,,,172.4303684,,151.8,162.4303684,,,151.8,0.419,7.00287776,,0.00490403,
10.443,151.6,0.495,49.7,0.428,0.495,178.6,49.7,,,,,154.7861771,,25.65163751,146.6912,,,172.3428375,,151.6,162.3428375,,,151.6,0.428,7.086304426,,0.005021571,
10.476,151.3,0.5,49.5,0.461,0.5,178.3,49.5,,,,,154.6325957,,25.4753212,146.508,,,171.9833212,,151.3,161.9833212,,,151.3,0.461,7.061018635,,0.004985798,
10.498,151.1,0.506,49.5,0.483,0.506,178.1,49.5,,,,,154.4610871,,25.30460552,146.28816,,,171.5927655,,151.1,161.5927655,,,151.1,0.483,6.944252492,,0.004822264,
