Time,Pressure_in,Pressure_out,Flow,Voltage
5907,0.00,0.00,0.00,10.00
5917,0.00,0.00,0.00,-5.00
5936,0.00,0.00,0.00,-5.00
5951,0.00,0.00,0.00,-5.00
5966,0.00,0.00,0.00,-5.00
5971,0.00,0.00,0.00,-5.00
5988,0.00,0.00,0.00,-5.00
6004,0.00,0.00,0.00,-5.00
6017,0.00,0.00,0.00,-5.00
6029,0.00,0.00,0.00,-5.00
6034,0.00,0.00,0.00,-5.00
6052,0.00,0.00,0.00,-5.00
6066,0.00,0.00,0.00,-5.00
6074,0.00,0.00,0.00,-5.00
6092,0.00,0.00,0.00,-5.00
6106,0.00,0.00,0.00,-5.00
6111,0.00,0.00,0.00,-5.00
6131,0.00,0.00,0.00,-5.00
6142,0.00,0.00,0.00,-5.00
6152,0.00,0.00,0.00,-5.00
6167,0.00,0.00,0.00,-5.00
6180,0.00,0.00,0.00,-5.00
6192,0.00,0.00,0.00,-5.00
6199,0.00,0.00,0.00,-5.00
6213,0.00,0.00,0.00,-5.00
6230,0.00,0.00,0.00,-5.00
6244,0.00,0.00,0.00,-5.00
6246,0.00,0.00,0.00,-5.00
6266,0.00,0.00,0.00,-5.00
6280,0.00,0.00,0.00,-5.00
6280,0.00,0.00,0.00,-5.00
6307,0.00,0.00,0.00,-5.00
6318,0.00,0.00,0.00,-5.00
6330,0.00,0.00,0.00,-5.00
6338,0.00,0.00,0.00,-5.00
6356,0.00,0.00,0.00,-5.00
6371,0.00,0.00,0.00,-5.00
6384,0.00,0.00,0.00,-5.00
6396,0.00,0.00,0.00,-5.00
6399,0.00,0.00,0.00,-5.00
6416,0.00,0.00,0.00,-5.00
6431,0.00,0.00,0.00,-5.00
6431,0.00,0.00,0.00,-5.00
6457,0.00,0.00,0.00,-5.00
6465,0.00,0.00,0.00,-5.00
6482,0.00,0.00,0.00,-5.00
6498,0.00,0.00,0.00,-5.00
6498,0.00,0.00,0.00,-5.00
6520,0.00,0.00,0.00,-5.00
6535,0.00,0.00,0.00,-5.00
6548,0.00,0.00,0.00,-5.00
6556,0.00,0.00,0.00,-5.00
6573,0.00,0.00,0.00,-5.00
6584,0.00,0.00,0.00,-5.00
6597,0.00,0.00,0.00,-5.00
6609,0.00,0.00,0.00,-5.00
6616,0.00,0.00,0.00,-5.00
6632,0.00,0.00,0.00,-5.00
6647,0.00,0.00,0.00,-5.00
6663,0.00,0.00,0.00,-5.00
6664,0.00,0.00,0.00,-5.00
6683,0.00,0.00,0.00,-5.00
6699,0.00,0.00,0.00,-5.00
6700,0.00,0.00,0.00,-5.00
6717,0.00,0.00,0.00,-5.00
6732,0.00,0.00,0.00,-5.00
6748,0.00,0.00,0.00,-5.00
6759,0.00,0.00,0.00,-5.00
6766,0.00,0.00,0.00,-5.00
6789,0.00,0.00,0.00,-5.00
6801,0.00,0.00,0.00,-5.00
6813,0.00,0.00,0.00,-5.00
6826,0.00,0.00,0.00,-5.00
6839,0.00,0.00,0.00,-5.00
6849,0.00,0.00,0.00,-5.00
6849,0.00,0.00,0.00,-5.00
6875,0.00,0.00,0.00,-5.00
6883,0.00,0.00,0.00,-5.00
6899,0.00,0.00,0.00,-5.00
6909,0.00,0.00,0.00,-5.00
6924,0.00,0.00,0.00,-5.00
6932,0.00,0.00,0.00,-5.00
6949,0.00,0.00,0.00,-5.00
6965,0.00,0.00,0.00,-5.00
6967,0.00,0.00,0.00,-5.00
6990,0.00,0.00,0.00,-5.00
7002,0.00,0.00,0.00,-5.00
7015,0.00,0.00,0.00,-5.00
7027,0.00,0.00,0.00,-5.00
7039,0.00,0.00,0.00,-5.00
7052,0.00,0.00,0.00,-5.00
7068,0.00,0.00,0.00,-5.00
7068,0.00,0.00,0.00,-5.00
7092,0.00,0.00,0.00,-5.00
7101,0.00,0.00,0.00,-5.00
7115,0.00,0.00,0.00,-5.00
7118,0.00,0.00,0.00,-5.00
7135,0.00,0.00,0.00,-5.00
7153,0.00,0.00,0.00,-5.00
7166,0.00,0.00,0.00,-5.00
7171,0.00,0.00,0.00,-5.00
7183,0.00,0.00,0.00,-5.00
7200,0.00,0.00,0.00,-5.00
7219,0.00,0.00,0.00,-5.00
7232,0.00,0.00,0.00,-5.00
7244,0.00,0.00,0.00,-5.00
7256,0.00,0.00,0.00,-5.00
7269,0.00,0.00,0.00,-5.00
7269,0.00,0.00,0.00,-5.00
7286,0.00,0.00,0.00,-5.00
7301,0.00,0.00,0.00,-5.00
7319,0.00,0.00,0.00,-5.00
7322,0.00,0.00,0.00,-5.00
7338,0.00,0.00,0.00,-5.00
7358,0.00,0.00,0.00,-5.00
7370,0.00,0.00,0.00,-5.00
7379,0.00,0.00,0.00,-5.00
7387,0.00,0.00,0.00,-5.00
7404,0.00,0.00,0.00,-5.00
7420,0.00,0.00,0.00,-5.00
7422,0.00,0.00,0.00,-5.00
7445,0.00,0.00,0.00,-5.00
7457,0.00,0.00,0.00,-5.00
7469,0.00,0.00,0.00,-5.00
7485,0.00,0.00,0.00,-5.00
7493,0.00,0.00,0.00,-5.00
7510,0.00,0.00,0.00,-5.00
7512,0.00,0.00,0.00,-5.00
7528,0.00,0.00,0.00,-5.00
7544,0.00,0.00,0.00,-5.00
7544,0.00,0.00,0.00,-5.00
7570,0.00,0.00,0.00,-5.00
7577,0.00,0.00,0.00,-5.00
7593,0.00,0.00,0.00,-5.00
7609,0.00,0.00,0.00,-5.00
7625,0.00,0.00,0.00,-5.00
7627,0.00,0.00,0.00,-5.00
7644,0.00,0.00,0.00,-5.00
7662,0.00,0.00,0.00,-5.00
7674,0.00,0.00,0.00,-5.00
7687,0.00,0.00,0.00,-5.00
7698,0.00,0.00,0.00,-5.00
7711,0.00,0.00,0.00,-5.00
7724,0.00,0.00,0.00,-5.00
7726,0.00,0.00,0.00,-5.00
7742,0.00,0.00,0.00,-5.00
7762,0.00,0.00,0.00,-5.00
7774,0.00,0.00,0.00,-5.00
7774,0.00,0.00,0.00,-5.00
7800,0.00,0.00,0.00,-5.00
7811,0.00,0.00,0.00,-5.00
7826,0.00,0.00,0.00,-5.00
7838,0.00,0.00,0.00,-5.00
7839,0.00,0.00,0.00,-5.00
7856,0.00,0.00,0.00,-5.00
7875,0.00,0.00,0.00,-5.00
7879,0.00,0.00,0.00,-5.00
7896,0.00,0.00,0.00,-5.00
7915,0.00,0.00,0.00,-5.00
7927,0.00,0.00,0.00,-5.00
7940,0.00,0.00,0.00,-5.00
7952,0.00,0.00,0.00,-5.00
7962,0.00,0.00,0.00,-5.00
