Parameter,Value
c3_0_e,12.02440426452166
c2_0_e,0.33786239642466986
c1_0_e,-0.001669103167623247
c0_0_e,0.12825080210228262
c3_1_e,7.318733268081997
c2_1_e,0.3167043000607787
c1_1_e,-0.002114396365670538
c0_1_e,0.9208652361978316
c3_2_e,6.223401312692141
c2_2_e,0.33143425862218207
c1_2_e,-0.0029092311985413665
c0_2_e,0.6172659308275793
c3_3_e,-4.658609517248745
c2_3_e,0.45144318013344314
c1_3_e,-0.00513047760703341
c0_3_e,4.793168204544964
c3_4_e,-8.293756800342518
c2_4_e,0.4586297128272994
c1_4_e,-0.005750684830795744
c0_4_e,7.468829606921795
c3_0_c,15.465399121492887
c2_0_c,0.6562675391571623
c1_0_c,-0.004349093754905643
c0_0_c,-2.2279566157287434
c3_1_c,10.67495684229513
c2_1_c,0.6301268406330542
c1_1_c,-0.005488767807898092
c0_1_c,-2.0705077014438316
c3_2_c,10.107004400059385
c2_2_c,0.6508380656056896
c1_2_c,-0.007153660090701105
c0_2_c,-3.1522711379505313
c3_3_c,8.19211520473878
c2_3_c,0.6309157883419998
c1_3_c,-0.007903206217128493
c0_3_c,-3.642901915878539
c3_4_c,22.40549991568699
c2_4_c,0.7235597978071858
c1_4_c,-0.010489433831030608
c0_4_c,-15.436348278651408
c3_e,-0.12809012144611578
c2_e,0.27548923084454435
c1_e,-0.0017410784810937944
c0_e,3.266726242827077
c3_c,-0.3414170473470487
c2_c,0.30411151980242146
c1_c,-0.0006043284462004394
c0_c,1.8685961284132866
