Parameter,Value
c3_0_e,24.401800281954838
c2_0_e,0.0847054612162711
c1_0_e,-0.0001848944454817163
c0_0_e,-1.8858393864631215
c3_1_e,17.35134240042371
c2_1_e,0.040249097258362176
c1_1_e,6.913564276215799e-05
c0_1_e,-1.0910971232649298
c3_2_e,4.0021903773826235
c2_2_e,0.21350464273977438
c1_2_e,-0.0015904747335028036
c0_2_e,0.6528433073737209
c3_3_e,1.6551317235736915
c2_3_e,0.2239954362816394
c1_3_e,-0.001977341046821702
c0_3_e,1.4624804507896707
c3_4_e,-4.6591367627175035
c2_4_e,0.31437189781738595
c1_4_e,-0.003082351712728968
c0_4_e,3.45464081184715
c3_0_c,11.19219902066449
c2_0_c,0.3000808297938342
c1_0_c,-0.0015138754897911376
c0_0_c,-0.9280347696752291
c3_1_c,9.963067121921396
c2_1_c,0.20314358556963186
c1_1_c,-0.0012064684873600714
c0_1_c,-0.40672142048845383
c3_2_c,5.624060803490255
c2_2_c,0.30329470296260425
c1_2_c,-0.0023471055706837597
c0_2_c,-0.9734002751968571
c3_3_c,5.015096118167619
c2_3_c,0.304681227598164
c1_3_c,-0.0027804155345409302
c0_3_c,-1.3371627292775339
c3_4_c,3.214251566273535
c2_4_c,0.39137190850439085
c1_4_c,-0.003935219007595363
c0_4_c,-3.0231283338753303
c3_e,-2.8353342112593203
c2_e,0.2396897397584361
c1_e,-0.001863187284281424
c0_e,3.136757655576288
c3_c,-2.1312971136973466
c2_c,0.21897651048503666
c1_c,-0.001000113477405859
c0_c,2.0725609322674776
