Parameter,Value
c3_0_e,10.317669388904239
c2_0_e,0.09019875372672022
c1_0_e,-0.00011114384070698446
c0_0_e,2.4054403783851943
c3_1_e,13.851166479694118
c2_1_e,0.12991484697528238
c1_1_e,-0.0007303805774145037
c0_1_e,1.0830303708803128
c3_2_e,16.90034458659327
c2_2_e,0.2623175585070934
c1_2_e,-0.0025817213495524407
c0_2_e,-2.289927389521037
c3_3_e,4.541807006519537
c2_3_e,0.36989393970316614
c1_3_e,-0.003656342898940303
c0_3_e,0.2894962465276121
c3_4_e,-39.44529074806827
c2_4_e,0.429964022426623
c1_4_e,-0.002607812667864732
c0_4_e,23.83267532732004
c3_0_c,17.178583703534496
c2_0_c,0.20945143533666952
c1_0_c,-0.00122489972068876
c0_0_c,0.7240936042872073
c3_1_c,14.216717188716073
c2_1_c,0.30020948232438444
c1_1_c,-0.002419657711714567
c0_1_c,-0.04691792904264104
c3_2_c,10.855188769505434
c2_2_c,0.48093412448290196
c1_2_c,-0.004749737864182617
c0_2_c,-1.8820342097543257
c3_3_c,6.005677577012967
c2_3_c,0.5730989705457918
c1_3_c,-0.006158587993635269
c0_3_c,-2.4593251965023386
c3_4_c,-7.729111288459086
c2_4_c,0.5549747972260171
c1_4_c,-0.004955004380317624
c0_4_c,2.039475506378811
c3_e,-7.573359912176097
c2_e,0.38404249991741163
c1_e,-0.0031019560843907404
c0_e,5.121978971011744
c3_c,-9.20471711492171
c2_c,0.456675575378949
c1_c,-0.003119524038675802
c0_c,4.386344084931859
