Parameter,Value
c3_0_e,23.513376331888846
c2_0_e,0.3190648567978737
c1_0_e,-0.0008497443856523947
c0_0_e,-2.4063543316861495
c3_1_e,3.78960443521372
c2_1_e,0.24194134396241412
c1_1_e,-0.0008271262145593383
c0_1_e,1.7933816254383337
c3_2_e,-18.777424283035113
c2_2_e,0.17396798687651369
c1_2_e,-0.0007400307469343991
c0_2_e,11.279433057031907
c3_3_e,26.51041092736806
c2_3_e,0.1215401360280974
c1_3_e,-0.0004024690564586287
c0_3_e,-9.034976895012232
c3_4_e,20.925657308435742
c2_4_e,0.27844286634414855
c1_4_e,-0.0021651579321752554
c0_4_e,-11.839584394959674
c3_0_c,9.151572972698332
c2_0_c,0.4764181229205331
c1_0_c,-0.0012688578926384167
c0_0_c,-1.9214959986434488
c3_1_c,8.096048390805391
c2_1_c,0.5094788348323261
c1_1_c,-0.0024098218775406117
c0_1_c,-2.0187327020885233
c3_2_c,10.635653701689245
c2_2_c,0.453189611964193
c1_2_c,-0.0028594605048270524
c0_2_c,-2.378850927493533
c3_3_c,6.147897648724723
c2_3_c,0.45318990390094466
c1_3_c,-0.003711786246818882
c0_3_c,-2.1856270432367473
c3_4_c,2.991578178407974
c2_4_c,0.5403680073414219
c1_4_c,-0.004982741935775392
c0_4_c,-3.4277749610645105
c3_e,0.0705967824271402
c2_e,0.2186115810051744
c1_e,-0.0008917601451720559
c0_e,3.2501991705668
c3_c,0.02041361227101464
c2_c,0.2423668568952029
c1_c,-0.00039848627632271014
c0_c,1.5617499272725033
