Parameter,Value
c3_0_e,5.723963706882363
c2_0_e,0.4294126050235716
c1_0_e,-0.0026205042838591563
c0_0_e,0.9194614476837983
c3_1_e,8.704347085186102
c2_1_e,0.28422196571438796
c1_1_e,-0.0018202146649081029
c0_1_e,0.8657212500081992
c3_2_e,4.738212813622302
c2_2_e,0.32434707236516647
c1_2_e,-0.0027524970908294174
c0_2_e,1.3542362040061533
c3_3_e,-2.254279126542887
c2_3_e,0.4307446358402683
c1_3_e,-0.004576793103228498
c0_3_e,3.369771181040699
c3_4_e,-7.167442209230885
c2_4_e,0.46466664720306533
c1_4_e,-0.0055639673195429324
c0_4_e,6.42008326105936
c3_0_c,15.132826521128436
c2_0_c,0.6141416339428611
c1_0_c,-0.003970500652095715
c0_0_c,-1.9666470671764378
c3_1_c,10.808958861556722
c2_1_c,0.48271232504413597
c1_1_c,-0.003642694847803311
c0_1_c,-1.2611768909892391
c3_2_c,10.48127378929403
c2_2_c,0.564128860503974
c1_2_c,-0.0059466431205167525
c0_2_c,-2.617944677983921
c3_3_c,5.811822837747521
c2_3_c,0.6486869542074777
c1_3_c,-0.008032183980465474
c0_3_c,-2.764273434775419
c3_4_c,21.652116365559518
c2_4_c,0.7018735027789922
c1_4_c,-0.010046278579189884
c0_4_c,-14.768934422691327
c3_e,-1.1446047243650885
c2_e,0.31512628272133036
c1_e,-0.002268056310852497
c0_e,3.4110216952908106
c3_c,-0.8696914711369449
c2_c,0.31530706537034514
c1_c,-0.0009044457221641503
c0_c,2.1167369875426174
