Parameter,Value
c3_0_e,7.203848721428762
c2_0_e,0.09030731120176654
c1_0_e,-6.515595253314296e-05
c0_0_e,2.9195833679465344
c3_1_e,-12.609323233683181
c2_1_e,0.44911936875533665
c1_1_e,-0.004010615548956429
c0_1_e,7.36925243541446
c3_0_c,6.799182135781587
c2_0_c,0.10235033542665997
c1_0_c,-5.4500293952313266e-05
c0_0_c,2.72966030571125
c3_1_c,-13.0445495451176
c2_1_c,0.45668608727965915
c1_1_c,-0.003348992204285358
c0_1_c,6.639962365534012
c3_e,-7.573359912176097
c2_e,0.38404249991741163
c1_e,-0.0031019560843907404
c0_e,5.121978971011744
c3_c,-9.20471711492171
c2_c,0.456675575378949
c1_c,-0.003119524038675802
c0_c,4.386344084931859
