Parameter,Value
c3_0_e,11.195356075562673
c2_0_e,0.12379270749855455
c1_0_e,0.00021544549664508604
c0_0_e,0.9399739018251473
c3_1_e,-7.70390176718636
c2_1_e,0.3708472445480507
c1_1_e,-0.003126912316651083
c0_1_e,6.561518762904957
c3_0_c,13.376208093400693
c2_0_c,0.04910758241181643
c1_0_c,0.0013085820502067391
c0_0_c,-0.19054560934796178
c3_1_c,-6.040064579353829
c2_1_c,0.2903886818860646
c1_1_c,-0.0011798476672824662
c0_1_c,4.5418466864962594
c3_e,-2.7234981367850546
c2_e,0.31388282159957354
c1_e,-0.0022148009099859024
c0_e,4.0120235917379015
c3_c,-1.6758672667815782
c2_c,0.27743152555395567
c1_c,-0.0006356600017289736
c0_c,1.9680659867492287
