Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1897,0.0,0.501,0.0,146.47136,146.47136,136.6
3787,2.0,0.503,5.8,146.39808,148.39808,138.6
5741,4.4,0.506,14.1,146.28816,150.68816,141.0
7699,6.9,0.51,24.1,146.1416,153.04160000000002,143.5
9512,9.3,0.516,34.4,145.92176,155.22176000000002,145.9
11212,11.6,0.52,45.2,145.77519999999998,157.37519999999998,148.2
13046,14.2,0.528,58.5,145.48208,159.68207999999998,150.79999999999998
14821,16.4,0.534,70.2,145.26224,161.66224,153.0
16660,18.9,0.543,84.3,144.93248,163.83248,155.5
18479,21.5,0.543,97.0,144.93248,166.43248,158.1
20411,24.1,0.542,110.0,144.96912,169.06912,160.7
22291,26.3,0.542,121.3,144.96912,171.26912000000002,162.9
24327,28.6,0.542,134.0,144.96912,173.56912,165.2
26224,31.2,0.542,148.2,144.96912,176.16912,167.79999999999998
27976,33.9,0.543,164.2,144.93248,178.83248,170.5
29870,36.3,0.543,178.5,144.93248,181.23248,172.89999999999998
32709,38.8,0.542,193.2,144.96912,183.76912,175.39999999999998
34546,36.4,0.52,164.7,145.77519999999998,182.1752,173.0
36382,33.8,0.501,141.5,146.47136,180.27136000000002,170.39999999999998
38221,31.3,0.501,128.1,146.47136,177.77136000000002,167.9
40137,28.8,0.501,115.2,146.47136,175.27136000000002,165.4
41853,26.3,0.501,102.8,146.47136,172.77136000000002,162.9
43746,23.8,0.501,90.9,146.47136,170.27136000000002,160.4
45605,21.4,0.501,79.3,146.47136,167.87136,158.0
47523,18.7,0.501,67.4,146.47136,165.17136,155.29999999999998
49316,16.5,0.501,57.5,146.47136,162.97136,153.1
51130,13.9,0.501,46.4,146.47136,160.37136,150.5
53092,11.4,0.501,36.1,146.47136,157.87136,148.0
55043,9.1,0.501,26.9,146.47136,155.57136,145.7
56883,6.7,0.501,17.5,146.47136,153.17136,143.29999999999998
58639,4.2,0.5,8.9,146.508,150.708,140.79999999999998
60776,1.8,0.501,2.6,146.47136,148.27136000000002,138.4
65507,-0.7,0.501,0.1,146.47136,145.77136000000002,135.9
