Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2107,0.0,0.701,0.0,179.53825999999998,179.53825999999998,166.09
4183,2.8,0.702,8.9,179.49851999999998,182.29852,168.89000000000001
6616,5.1,0.703,18.7,179.45877999999996,184.55877999999996,171.19
8504,7.3,0.706,31.9,179.33955999999998,186.63956,173.39000000000001
10732,9.9,0.706,49.7,179.33955999999998,189.23955999999998,175.99
12927,12.6,0.706,69.5,179.33955999999998,191.93955999999997,178.69
15143,14.7,0.706,87.0,179.33955999999998,194.03955999999997,180.79
17039,17.3,0.707,108.6,179.29981999999995,196.59981999999997,183.39000000000001
19403,19.7,0.706,128.9,179.33955999999998,199.03955999999997,185.79
21471,22.1,0.706,149.9,179.33955999999998,201.43955999999997,188.19
23687,24.6,0.704,171.5,179.41903999999997,204.01903999999996,190.69
25982,27.5,0.706,199.1,179.33955999999998,206.83955999999998,193.59
28136,29.6,0.706,218.1,179.33955999999998,208.93955999999997,195.69
30732,32.6,0.704,246.8,179.41903999999997,212.01903999999996,198.69
33045,34.4,0.706,264.5,179.33955999999998,213.73955999999998,200.49
35176,37.4,0.706,294.5,179.33955999999998,216.73955999999998,203.49
37675,39.5,0.706,315.9,179.33955999999998,218.83955999999998,205.59
39985,42.3,0.706,345.5,179.33955999999998,221.63955999999996,208.39
44404,44.4,0.704,366.0,179.41903999999997,223.81903999999997,210.49
46742,41.7,0.681,317.6,180.33305999999996,222.03305999999998,207.79000000000002
48996,39.6,0.668,285.1,180.84967999999998,220.44967999999997,205.69
51071,36.5,0.666,254.3,180.92915999999997,217.42915999999997,202.59
53286,34.6,0.665,235.3,180.96889999999996,215.56889999999996,200.69
55283,32.1,0.665,211.2,180.96889999999996,213.06889999999996,198.19
57519,29.8,0.665,190.1,180.96889999999996,210.76889999999997,195.89000000000001
59694,27.0,0.665,165.1,180.96889999999996,207.96889999999996,193.09
61930,24.9,0.665,147.0,180.96889999999996,205.86889999999997,190.99
64146,22.2,0.665,123.4,180.96889999999996,203.16889999999995,188.29
66423,19.9,0.665,103.8,180.96889999999996,200.86889999999997,185.99
68519,17.4,0.664,83.4,181.00863999999999,198.40864,183.49
70695,15.0,0.664,64.3,181.00863999999999,196.00863999999999,181.09
72690,12.6,0.665,45.4,180.96889999999996,193.56889999999996,178.69
75005,10.1,0.664,28.2,181.00863999999999,191.10863999999998,176.19
76802,7.4,0.664,12.8,181.00863999999999,188.40864,173.49
79079,5.1,0.664,4.9,181.00863999999999,186.10863999999998,171.19
80836,2.4,0.665,0.2,180.96889999999996,183.36889999999997,168.49
86263,0.4,0.665,0.0,180.96889999999996,181.36889999999997,166.49
