Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1102,0.0,0.302,0.0,169.18028000000004,169.18028000000004,158.9
3600,3.1,0.302,9.1,169.18028000000004,172.28028000000003,162.0
5394,5.6,0.304,16.9,169.11456000000004,174.71456000000003,164.5
7169,8.1,0.304,25.6,169.11456000000004,177.21456000000003,167.0
8902,10.6,0.305,34.7,169.08170000000004,179.68170000000003,169.5
10744,12.9,0.304,43.5,169.11456000000004,182.01456000000005,171.8
12512,15.5,0.305,54.0,169.08170000000004,184.58170000000004,174.4
14397,18.1,0.306,64.9,169.04884000000004,187.14884000000004,177.0
16225,20.4,0.306,74.5,169.04884000000004,189.44884000000005,179.3
18109,22.9,0.307,86.0,169.01598000000004,191.91598000000005,181.8
20008,25.3,0.31,97.2,168.91740000000004,194.21740000000005,184.20000000000002
21962,27.9,0.311,109.9,168.88454000000004,196.78454000000005,186.8
23827,30.6,0.315,123.9,168.75310000000005,199.35310000000004,189.5
25837,33.0,0.317,137.0,168.68738000000005,201.68738000000005,191.9
27811,35.7,0.321,152.0,168.55594000000002,204.25594,194.60000000000002
29586,37.9,0.324,165.7,168.45736000000002,206.35736000000003,196.8
31705,40.5,0.329,181.8,168.29306000000003,208.79306000000003,199.4
33819,37.8,0.317,158.1,168.68738000000005,206.48738000000003,196.7
35825,35.2,0.306,139.9,169.04884000000004,204.24884000000003,194.10000000000002
37891,32.7,0.302,125.3,169.18028000000004,201.88028000000003,191.60000000000002
39729,29.9,0.301,111.5,169.21314000000004,199.11314000000004,188.8
41626,27.8,0.301,101.7,169.21314000000004,197.01314000000005,186.70000000000002
43558,25.1,0.302,89.6,169.18028000000004,194.28028000000003,184.0
45418,22.8,0.301,79.2,169.21314000000004,192.01314000000005,181.70000000000002
47192,20.1,0.301,67.2,169.21314000000004,189.31314000000003,179.0
49269,18.0,0.302,58.4,169.18028000000004,187.18028000000004,176.9
51267,15.4,0.301,47.7,169.21314000000004,184.61314000000004,174.3
53399,13.2,0.302,38.7,169.18028000000004,182.38028000000003,172.1
55179,10.5,0.302,28.3,169.18028000000004,179.68028000000004,169.4
57235,8.0,0.301,19.0,169.21314000000004,177.21314000000004,166.9
58770,5.8,0.302,10.9,169.18028000000004,174.98028000000005,164.70000000000002
61306,3.1,0.302,3.5,169.18028000000004,172.28028000000003,162.0
63141,0.1,0.302,2.8,169.18028000000004,169.28028000000003,159.0
66057,0.0,0.302,2.5,169.18028000000004,169.18028000000004,158.9
