Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1923,0.0,0.396,0.0,150.31856,150.31856,150.17
4051,2.6,0.398,3.7,150.24528,152.84528,152.76999999999998
6293,5.1,0.4,9.6,150.172,155.272,155.26999999999998
8378,7.7,0.405,17.3,149.9888,157.6888,157.86999999999998
10446,9.9,0.41,25.0,149.8056,159.7056,160.07
12395,12.7,0.415,35.6,149.6224,162.3224,162.86999999999998
14548,14.9,0.421,44.7,149.40256,164.30256,165.07
16655,17.4,0.427,55.4,149.18272,166.58272,167.57
18831,19.9,0.435,67.9,148.8896,168.7896,170.07
20938,22.6,0.438,79.5,148.77967999999998,171.37967999999998,172.76999999999998
23273,24.8,0.438,88.8,148.77967999999998,173.57968,174.97
25237,27.4,0.438,100.3,148.77967999999998,176.17968,177.57
27271,29.7,0.438,110.4,148.77967999999998,178.47967999999997,179.86999999999998
29270,32.6,0.439,123.9,148.74304,181.34304,182.76999999999998
31459,35.0,0.439,135.9,148.74304,183.74304,185.17
33580,37.4,0.439,148.2,148.74304,186.14304,187.57
36594,39.7,0.438,160.4,148.77967999999998,188.47967999999997,189.87
38590,37.1,0.417,132.6,149.54912,186.64911999999998,187.26999999999998
40547,34.7,0.401,112.9,150.13536,184.83535999999998,184.87
42319,32.0,0.396,98.9,150.31856,182.31856,182.17
44562,29.6,0.396,89.2,150.31856,179.91855999999999,179.76999999999998
46247,27.0,0.395,78.2,150.3552,177.3552,177.17
48242,24.6,0.396,69.2,150.31856,174.91855999999999,174.76999999999998
50050,22.0,0.396,59.7,150.31856,172.31856,172.17
51881,19.6,0.398,50.9,150.24528,169.84528,169.76999999999998
53563,17.2,0.395,42.3,150.3552,167.55519999999999,167.36999999999998
55529,14.7,0.396,34.1,150.31856,165.01855999999998,164.86999999999998
57197,12.1,0.396,25.4,150.31856,162.41855999999999,162.26999999999998
59252,9.9,0.396,18.9,150.31856,160.21856,160.07
60927,7.4,0.395,11.4,150.3552,157.7552,157.57
62906,5.0,0.396,5.6,150.31856,155.31856,155.17
64527,2.4,0.396,1.4,150.31856,152.71856,152.57
69513,0.1,0.396,0.0,150.31856,150.41855999999999,150.26999999999998
