Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
4423,0.0,0.4,0.0,165.96000000000004,165.96000000000004,154.99
6072,2.9,0.4,12.8,165.96000000000004,168.86000000000004,157.89000000000001
7556,5.4,0.401,23.2,165.92714000000004,171.32714000000004,160.39000000000001
9292,7.9,0.402,34.2,165.89428000000004,173.79428000000004,162.89000000000001
10829,10.7,0.402,47.7,165.89428000000004,176.59428000000003,165.69
12425,12.7,0.402,57.5,165.89428000000004,178.59428000000003,167.69
13803,15.4,0.405,71.8,165.79570000000004,181.19570000000004,170.39000000000001
15319,18.0,0.407,85.4,165.72998000000004,183.72998000000004,172.99
16739,20.5,0.41,99.6,165.63140000000004,186.13140000000004,175.49
18274,23.1,0.412,114.1,165.56568000000004,188.66568000000004,178.09
19613,25.4,0.416,128.6,165.43424000000005,190.83424000000005,180.39000000000001
21110,27.7,0.42,143.3,165.30280000000005,193.00280000000004,182.69
22485,30.2,0.423,160.1,165.20422000000002,195.40422,185.19
24041,32.7,0.428,177.3,165.03992000000002,197.73992000000004,187.69
25380,35.1,0.433,196.3,164.87562000000003,199.97562000000002,190.09
26896,37.6,0.439,215.5,164.67846000000003,202.27846000000002,192.59
28596,40.1,0.445,235.4,164.48130000000003,204.58130000000003,195.09
30071,37.6,0.433,210.1,164.87562000000003,202.47562000000002,192.59
31771,34.9,0.422,187.4,165.23708000000005,200.13708000000005,189.89000000000001
33405,32.5,0.413,168.6,165.53282000000004,198.03282000000004,187.49
34744,30.0,0.407,149.7,165.72998000000004,195.72998000000004,184.99
36798,27.5,0.401,133.5,165.92714000000004,193.42714000000004,182.49
38333,25.1,0.4,119.2,165.96000000000004,191.06000000000003,180.09
40113,22.6,0.4,105.7,165.96000000000004,188.56000000000003,177.59
41747,20.2,0.4,93.8,165.96000000000004,186.16000000000003,175.19
43425,17.7,0.401,80.8,165.92714000000004,183.62714000000003,172.69
45302,15.4,0.4,69.0,165.96000000000004,181.36000000000004,170.39000000000001
46900,12.9,0.4,55.8,165.96000000000004,178.86000000000004,167.89000000000001
48694,10.7,0.4,44.8,165.96000000000004,176.66000000000003,165.69
50354,8.1,0.4,31.7,165.96000000000004,174.06000000000003,163.09
51827,5.7,0.4,20.0,165.96000000000004,171.66000000000003,160.69
53507,3.1,0.401,8.6,165.92714000000004,169.02714000000003,158.09
55381,0.6,0.401,0.6,165.92714000000004,166.52714000000003,155.59
60566,-0.2,0.4,2.2,165.96000000000004,165.76000000000005,154.79000000000002
