Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
4231,0.0,0.599,0.0,113.25348,113.25348,96.3
5867,2.3,0.603,8.2,113.15155999999999,115.45155999999999,98.6
7767,4.8,0.604,17.3,113.12607999999999,117.92607999999998,101.1
9497,7.6,0.609,32.8,112.99868,120.59867999999999,103.89999999999999
11276,9.8,0.614,45.7,112.87127999999998,122.67127999999998,106.1
12975,12.6,0.621,65.3,112.69291999999999,125.29291999999998,108.89999999999999
14694,14.9,0.629,82.5,112.48907999999999,127.38907999999999,111.2
16451,17.5,0.638,104.5,112.25975999999999,129.75975999999997,113.8
18020,19.7,0.638,121.8,112.25975999999999,131.95976,116.0
19658,22.0,0.637,140.1,112.28523999999999,134.28524,118.3
21538,24.6,0.637,161.6,112.28523999999999,136.88523999999998,120.9
24449,26.7,0.636,178.8,112.31071999999999,139.01072,123.0
26623,29.3,0.637,203.3,112.28523999999999,141.58524,125.6
28929,27.0,0.614,169.9,112.87127999999998,139.87127999999998,123.3
31102,24.3,0.602,141.2,113.17703999999999,137.47704,120.6
32946,22.0,0.602,122.9,113.17703999999999,135.17703999999998,118.3
34729,19.5,0.6,103.7,113.228,132.728,115.8
36509,17.0,0.599,85.6,113.25348,130.25348,113.3
38263,14.6,0.599,68.8,113.25348,127.85347999999999,110.89999999999999
40105,12.3,0.6,53.3,113.228,125.52799999999999,108.6
41795,9.9,0.6,37.4,113.228,123.128,106.2
43869,7.2,0.599,20.6,113.25348,120.45348,103.5
46070,4.9,0.6,9.2,113.228,118.128,101.2
47667,2.5,0.6,1.6,113.228,115.728,98.8
55354,0.1,0.6,3.6,113.228,113.32799999999999,96.39999999999999
