Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2936,0.0,0.701,0.0,110.65451999999999,110.65451999999999,93.0
4403,2.2,0.702,6.5,110.62903999999999,112.82903999999999,95.2
5824,4.7,0.704,17.3,110.57807999999999,115.27807999999999,97.7
7349,7.3,0.707,31.7,110.50163999999998,117.80163999999998,100.3
8758,9.9,0.713,49.4,110.34875999999998,120.24875999999999,102.9
10337,12.3,0.719,67.2,110.19587999999999,122.49587999999999,105.3
11671,14.6,0.726,86.9,110.01751999999999,124.61751999999998,107.6
13271,17.2,0.736,110.3,109.76271999999999,126.96271999999999,110.2
14647,19.4,0.742,130.6,109.60983999999999,129.00984,112.4
17619,21.9,0.741,151.9,109.63531999999998,131.53531999999998,114.9
19481,24.5,0.742,178.1,109.60983999999999,134.10984,117.5
21091,26.8,0.742,201.1,109.60983999999999,136.40984,119.8
23548,29.8,0.741,231.7,109.63531999999998,139.43532,122.8
25405,26.5,0.707,181.0,110.50163999999998,137.00163999999998,119.5
26845,24.2,0.702,157.1,110.62903999999999,134.82904,117.2
28506,22.0,0.702,137.2,110.62903999999999,132.62903999999997,115.0
29957,19.4,0.702,114.3,110.62903999999999,130.02903999999998,112.4
31586,17.0,0.702,94.9,110.62903999999999,127.62903999999999,110.0
33235,14.4,0.702,74.3,110.62903999999999,125.02904,107.4
34731,12.3,0.701,57.7,110.65451999999999,122.95451999999999,105.3
36398,9.7,0.702,39.5,110.62903999999999,120.32903999999999,102.7
37877,7.2,0.702,22.5,110.62903999999999,117.82903999999999,100.2
39280,4.8,0.702,9.2,110.62903999999999,115.42903999999999,97.8
40941,2.4,0.702,2.3,110.62903999999999,113.02904,95.4
45371,0.3,0.703,0.1,110.60355999999999,110.90355999999998,93.3
