Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2885,0.0,0.699,0.0,179.61773999999997,179.61773999999997,161.1
4301,2.3,0.699,6.5,179.61773999999997,181.91773999999998,163.4
6358,4.7,0.702,17.1,179.49851999999998,184.19851999999997,165.79999999999998
10531,9.8,0.709,50.4,179.22033999999996,189.02033999999998,170.9
12768,12.4,0.714,71.0,179.02163999999996,191.42163999999997,173.5
15437,14.8,0.719,92.5,178.82293999999996,193.62293999999997,175.9
17870,17.4,0.728,117.1,178.46527999999995,195.86527999999996,178.5
20010,19.6,0.732,138.5,178.30631999999997,197.90631999999997,180.7
22287,22.4,0.737,165.0,178.10761999999997,200.50761999999997,183.5
24359,24.8,0.736,187.4,178.14735999999996,202.94735999999997,185.9
26341,26.9,0.736,206.7,178.14735999999996,205.04735999999997,188.0
28418,29.8,0.736,235.7,178.14735999999996,207.94735999999997,190.9
30593,32.0,0.736,256.7,178.14735999999996,210.14735999999996,193.1
32465,34.3,0.736,280.7,178.14735999999996,212.44735999999995,195.39999999999998
34565,36.9,0.736,308.1,178.14735999999996,215.04735999999997,198.0
36835,39.3,0.737,333.2,178.10761999999997,217.40761999999995,200.39999999999998
38788,42.0,0.736,363.1,178.14735999999996,220.14735999999996,203.1
42250,44.6,0.735,388.7,178.18709999999996,222.78709999999995,205.7
44646,41.6,0.707,331.6,179.29981999999995,220.89981999999995,202.7
46661,39.6,0.696,301.9,179.73695999999998,219.33695999999998,200.7
48971,36.4,0.697,270.0,179.69721999999996,216.09721999999996,197.5
51314,34.5,0.697,250.6,179.69721999999996,214.19721999999996,195.6
53724,31.7,0.696,223.1,179.73695999999998,211.43695999999997,192.79999999999998
55823,29.6,0.697,203.2,179.69721999999996,209.29721999999995,190.7
57940,27.3,0.696,181.7,179.73695999999998,207.03696,188.4
59917,24.7,0.696,157.2,179.73695999999998,204.43695999999997,185.79999999999998
61888,21.9,0.696,132.2,179.73695999999998,201.63696,183.0
63858,19.8,0.696,114.2,179.73695999999998,199.53696,180.9
66083,17.3,0.696,92.2,179.73695999999998,197.03696,178.4
67939,14.8,0.696,71.8,179.73695999999998,194.53696,175.9
71194,12.5,0.696,54.8,179.73695999999998,192.23695999999998,173.6
73687,10.3,0.696,36.6,179.73695999999998,190.03696,171.4
75786,7.4,0.695,17.0,179.77669999999998,187.17669999999998,168.5
78023,4.9,0.695,5.7,179.77669999999998,184.67669999999998,166.0
79795,2.1,0.695,1.4,179.77669999999998,181.87669999999997,163.2
84826,0.0,0.696,3.0,179.73695999999998,179.73695999999998,161.1
