Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
2416,0.0,0.401,0.0,165.92714000000004,165.92714000000004,154.99
4241,3.2,0.402,13.3,165.89428000000004,169.09428000000003,158.19
5764,6.2,0.401,26.4,165.92714000000004,172.12714000000003,161.19
7323,8.3,0.402,35.7,165.89428000000004,174.19428000000005,163.29000000000002
8744,10.7,0.402,47.3,165.89428000000004,176.59428000000003,165.69
10698,13.0,0.404,58.7,165.82856000000004,178.82856000000004,167.99
12452,15.3,0.405,70.8,165.79570000000004,181.09570000000005,170.29000000000002
14393,18.1,0.407,85.4,165.72998000000004,183.82998000000003,173.09
15910,20.3,0.407,97.6,165.72998000000004,186.02998000000005,175.29000000000002
17657,23.1,0.411,113.8,165.59854000000004,188.69854000000004,178.09
19123,25.4,0.415,128.2,165.46710000000004,190.86710000000005,180.39000000000001
20761,28.0,0.42,145.0,165.30280000000005,193.30280000000005,182.99
22338,30.2,0.422,159.7,165.23708000000005,195.43708000000004,185.19
23797,33.0,0.428,179.2,165.03992000000002,198.03992000000002,187.99
25154,35.2,0.433,195.8,164.87562000000003,200.07562000000001,190.19
26529,38.1,0.44,219.3,164.64560000000003,202.74560000000002,193.09
28364,40.4,0.444,237.8,164.51416000000003,204.91416000000004,195.39000000000001
29943,38.0,0.433,212.9,164.87562000000003,202.87562000000003,192.99
33118,32.8,0.415,170.6,165.46710000000004,198.26710000000003,187.79000000000002
34495,30.1,0.405,150.5,165.79570000000004,195.89570000000003,185.09
36191,27.8,0.401,135.5,165.92714000000004,193.72714000000005,182.79000000000002
37388,25.4,0.396,120.5,166.09144000000003,191.49144000000004,180.39000000000001
39463,23.2,0.4,110.0,165.96000000000004,189.16000000000003,178.19
40922,20.7,0.399,95.7,165.99286000000004,186.69286000000002,175.69
42476,18.3,0.4,83.8,165.96000000000004,184.26000000000005,173.29000000000002
44049,15.7,0.4,70.9,165.96000000000004,181.66000000000003,170.69
45760,13.2,0.4,58.0,165.96000000000004,179.16000000000003,168.19
47354,10.6,0.4,45.0,165.96000000000004,176.56000000000003,165.59
48965,8.2,0.4,32.9,165.96000000000004,174.16000000000003,163.19
50501,5.7,0.401,21.3,165.92714000000004,171.62714000000003,160.69
52222,3.6,0.4,11.6,165.96000000000004,169.56000000000003,158.59
57649,0.0,0.401,0.1,165.92714000000004,165.92714000000004,154.99
