Time,Length,Pressure,Force,Estimated Unstretched Length,Estimated Stretched Length,Real Stretched Length
1989,0.0,0.797,0.0,152.91458000000003,152.91458000000003,125.9
3688,2.0,0.797,0.4,152.91458000000003,154.91458000000003,127.9
6999,7.0,0.797,5.7,152.91458000000003,159.91458000000003,132.9
8534,9.6,0.798,15.4,152.88172000000003,162.48172000000002,135.5
10232,11.9,0.797,28.5,152.91458000000003,164.81458000000003,137.8
13566,16.9,0.798,65.5,152.88172000000003,169.78172000000004,142.8
15062,19.1,0.798,84.1,152.88172000000003,171.98172000000002,145.0
16697,21.8,0.8,107.2,152.81600000000003,174.61600000000004,147.70000000000002
18298,24.2,0.801,129.2,152.78314000000003,176.98314000000002,150.1
19933,26.8,0.803,154.2,152.71742000000003,179.51742000000004,152.70000000000002
21510,29.2,0.806,177.5,152.61884000000003,181.81884000000002,155.1
23127,31.6,0.808,202.2,152.55312000000004,184.15312000000003,157.5
24725,33.9,0.812,225.5,152.42168000000004,186.32168000000004,159.8
26441,36.5,0.815,253.7,152.3231,188.8231,162.4
28599,39.4,0.819,284.7,152.19166,191.59166000000002,165.3
30713,35.9,0.804,239.9,152.68456000000003,188.58456000000004,161.8
32331,33.8,0.797,216.4,152.91458000000003,186.71458,159.7
34108,31.3,0.797,190.4,152.91458000000003,184.21458000000004,157.20000000000002
35692,28.9,0.797,166.6,152.91458000000003,181.81458000000003,154.8
37601,26.4,0.797,142.4,152.91458000000003,179.31458000000003,152.3
39195,24.1,0.796,119.9,152.94744000000003,177.04744000000002,150.0
40835,21.8,0.797,98.3,152.91458000000003,174.71458000000004,147.70000000000002
42465,19.4,0.798,76.7,152.88172000000003,172.28172000000004,145.3
44223,16.8,0.797,52.3,152.91458000000003,169.71458000000004,142.70000000000002
45941,14.7,0.797,34.7,152.91458000000003,167.61458000000002,140.6
47522,12.3,0.798,17.1,152.88172000000003,165.18172000000004,138.20000000000002
49329,9.6,0.797,6.0,152.91458000000003,162.51458000000002,135.5
51014,7.2,0.797,1.4,152.91458000000003,160.11458000000002,133.1
52691,4.6,0.797,2.3,152.91458000000003,157.51458000000002,130.5
54428,2.5,0.797,2.6,152.91458000000003,155.41458000000003,128.4
55804,-0.5,0.797,3.5,152.91458000000003,152.41458000000003,125.4
59077,-0.6,0.797,3.5,152.91458000000003,152.31458000000003,125.30000000000001
